Product,Variant,Price,Handle,Variant ID,Availability,SKU,Product URL,Scraped at
CHILDREN’S PRINTED LAUNDRY BAG,Girl,30.0,childrens-laundry-bag-hand-printed,351380668436,True,PRGR-LABG,https://malaikalinens.com//products/childrens-laundry-bag-hand-printed,2026/01/26 02:11:03 PM
CHILDREN’S PRINTED LAUNDRY BAG,Boy,35.0,childrens-laundry-bag-hand-printed,351380701204,True,PRBO-LABG,https://malaikalinens.com//products/childrens-laundry-bag-hand-printed,2026/01/26 02:11:03 PM
Gift Card US$,US$ 50.00,46.0,gift-card-us,42648354750711,True,100,https://malaikalinens.com//products/gift-card-us,2026/01/26 02:11:05 PM
Gift Card US$,US$ 100.00,92.0,gift-card-us,42648354783479,True,100,https://malaikalinens.com//products/gift-card-us,2026/01/26 02:11:05 PM
Gift Card US$,US$ 200.00,184.0,gift-card-us,42648354816247,True,100,https://malaikalinens.com//products/gift-card-us,2026/01/26 02:11:05 PM
Gift Card US$,US$ 500.00,460.0,gift-card-us,42648354849015,True,100,https://malaikalinens.com//products/gift-card-us,2026/01/26 02:11:05 PM
BUBBLE FISH SERVING DISH,Default Title,79.0,bubble-fish-serving-tray,51461523472651,True,PO-BBFI-SEV-30,https://malaikalinens.com//products/bubble-fish-serving-tray,2026/01/26 02:11:07 PM
FILIGREE FLOWER NAPKINS (Set of 6),Default Title,264.0,filigree-flower-napkins,43574538993931,True,FLI-NP,https://malaikalinens.com//products/filigree-flower-napkins,2026/01/26 02:11:09 PM
DALLY GUEST TOWEL (set of two),primary,77.0,dally-guest-towel-set-of-two,39443605225549,True,DAL-GUTW-78,https://malaikalinens.com//products/dally-guest-towel-set-of-two,2026/01/26 02:11:12 PM
DALLY GUEST TOWEL (set of two),blues,77.0,dally-guest-towel-set-of-two,39443605258317,True,DAL-GUTW-77,https://malaikalinens.com//products/dally-guest-towel-set-of-two,2026/01/26 02:11:12 PM
DELTA TABLECLOTH,Default Title,587.0,delta-tablecloth,46122923688203,True,DLTA-TBC,https://malaikalinens.com//products/delta-tablecloth,2026/01/26 02:11:14 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"30cm x 41cm, 150g",22.9,down-pads-for-pillows-and-cushions,20877271302221,True,DWBS,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"34cm x 46cm, 275g",34.9,down-pads-for-pillows-and-cushions,32521764995149,True,DWRTCU,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"35cm x 45cm, 275g",34.9,down-pads-for-pillows-and-cushions,32521774235725,True,DWRTCU,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"37cm x 47cm, 300g",36.9,down-pads-for-pillows-and-cushions,20877274251341,True,DWBSXL,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"41cm x 41cm, 275g",32.9,down-pads-for-pillows-and-cushions,20877275693133,True,DWSQCU,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"45cm x 55cm, 350g",43.9,down-pads-for-pillows-and-cushions,20877276610637,True,DWRTCUXL,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"40cm x 60cm, 300g",52.0,down-pads-for-pillows-and-cushions,44490828185867,True,DWSQSLP,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"50cm x 50cm, 400g",43.9,down-pads-for-pillows-and-cushions,20877277397069,True,DWSQCUXL,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"40cm x 80cm, 350g",69.9,down-pads-for-pillows-and-cushions,20877271334989,True,DWQSLPG,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"50cm x 75cm, 380g",72.9,down-pads-for-pillows-and-cushions,20877271367757,True,DWQSLP,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"50cm x 90cm, 475g",79.9,down-pads-for-pillows-and-cushions,32569629933645,True,DWKP,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"66cm x 66cm, 550g",72.9,down-pads-for-pillows-and-cushions,20877271400525,True,DWES,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"80cm x 80cm, 650g",84.9,down-pads-for-pillows-and-cushions,20877271433293,True,DWSQPXL,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"40cm x 140cm, 800g - Side Sleeper Cushion",74.9,down-pads-for-pillows-and-cushions,32969813295181,True,DWSSLCU,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
DOWN PADS FOR PILLOWS AND CUSHIONS,"50cm x 90cm, 660g",93.25,down-pads-for-pillows-and-cushions,45891342565643,True,DWKP+,https://malaikalinens.com//products/down-pads-for-pillows-and-cushions,2026/01/26 02:11:16 PM
FELUCCA NAPKIN,Default Title,42.0,felucca-napkin,43714004582667,True,FLC-NP-73,https://malaikalinens.com//products/felucca-napkin,2026/01/26 02:11:18 PM
FISH FEEDING DINNER PLATE,Default Title,72.0,fish-feeding-plate,42318126252279,True,PO-FS-FD-PLT-27,https://malaikalinens.com//products/fish-feeding-plate,2026/01/26 02:11:19 PM
FLORA SERVING BOWL,Default Title,219.0,flora-platter,39439731163213,True,PO-FL-PLT-35,https://malaikalinens.com//products/flora-platter,2026/01/26 02:11:21 PM
DOWN CUSHION PADS 66cm x 66cm,"66cm x 66cm, 550g",71.9,down-cushion-pads-for-cotton-piped-linen-cushion,13032107475021,True,DWES,https://malaikalinens.com//products/down-cushion-pads-for-cotton-piped-linen-cushion,2026/01/26 02:11:23 PM
ESNA BEACH TOWEL,terracotta,53.0,esna-beach-towel,46610393628939,True,ESN-BETW-73,https://malaikalinens.com//products/esna-beach-towel,2026/01/26 02:11:24 PM
ESNA BEACH TOWEL,teal,53.0,esna-beach-towel,46610393661707,True,ESN-BETW-15,https://malaikalinens.com//products/esna-beach-towel,2026/01/26 02:11:24 PM
ESNA BEACH TOWEL,white,53.0,esna-beach-towel,46610402246923,True,ESN-BETW-00,https://malaikalinens.com//products/esna-beach-towel,2026/01/26 02:11:24 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Butterfly,48.0,children-s-butterfly-travel-bag,28277978726477,True,NV-TRBG-11,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Cosmos,48.0,children-s-butterfly-travel-bag,42370594570487,True,CM-TRBG-10,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Rococo Roses,48.0,children-s-butterfly-travel-bag,42370594603255,True,ROR-TRBG-11,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Stars,48.0,children-s-butterfly-travel-bag,42370594636023,True,STA-TRBG-10,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Aya,48.0,children-s-butterfly-travel-bag,51147025088779,True,AYA-TRBG-11,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Bes,48.0,children-s-butterfly-travel-bag,51147025121547,True,BES-TRBG-10,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Fatma Pink,48.0,children-s-butterfly-travel-bag,51147025154315,True,FAT-TRBG-11,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
CHILDREN’S EMBROIDERED TRAVEL BAG,Fatma Sky Blue,48.0,children-s-butterfly-travel-bag,51147025187083,True,FAT-TRBG-10,https://malaikalinens.com//products/children-s-butterfly-travel-bag,2026/01/26 02:11:26 PM
FLORA INTIMATES BAG,Default Title,27.0,flora-intimate-bag,46612936229131,True,FLIN-BAG-EMB-04,https://malaikalinens.com//products/flora-intimate-bag,2026/01/26 02:11:28 PM
CAIRO PALM GUEST TOWEL (Set of 2),Default Title,59.0,cairo-palm-guest-towel-set-of-2,43560853897483,True,CAIPL-GUTW,https://malaikalinens.com//products/cairo-palm-guest-towel-set-of-2,2026/01/26 02:11:30 PM
BOUQUET JUG & CUP,Default Title,100.0,bouquet-jug,42285613023479,True,GL-BO-JU-20,https://malaikalinens.com//products/bouquet-jug,2026/01/26 02:11:31 PM
CHERRY BLOSSOM GUEST TOWEL (Set of 2),pink,68.0,cherry-blossom-guest-towel-set-of-2,46123106042123,True,CHBL-GUTW-11,https://malaikalinens.com//products/cherry-blossom-guest-towel-set-of-2,2026/01/26 02:11:33 PM
