Product,Variant,Price,Handle,Variant ID,Availability,SKU,Product URL,Scraped at,Description
BEETLES COCKTAIL NAPKINS (Set of 6),Default Title,74.0,beetles-cocktail-napkins-set-of-6-copy,46610464735499,True,BEET-CNP-82,https://malaikalinens.com//products/beetles-cocktail-napkins-set-of-6-copy,2026/01/28 03:35:35 PM,"A set of six linen cocktail napkins, featuring three different beetles motifs in rich earthy hues. The Ajour is hand embroidered using a contrasting thread.Expertly made by the women at the Malaika Embroidery Training Centre (TOH) in Cairo.
Size:12cm x 22cm4.8"" x 8.7""
100% Linen"
CARNATION PLACE CARDS (Set of 6),red,6.0,carnation-place-cards-set-of-6,39423103729741,True,CAR-PLACCD-16,https://malaikalinens.com//products/carnation-place-cards-set-of-6,2026/01/28 03:35:37 PM,"Framed with a geometric carnation motif inspired by Ottoman samplers and a zig-zag border, these bold place cards in cardinal red are undeniably eye-catching.Perfect for displaying the names of your dinner guests, our Ottoman Carnation Place Cards will bring elegance and style to any tablescape. Pair with our Ottoman Carnation Cards for a seamless table setting no guest will forget. 300gsm paper card.
Size: 10cm x 6cm"
CARNATION PLACE CARDS (Set of 6),rosewood,6.0,carnation-place-cards-set-of-6,39423103762509,True,CAR-PLACCD-66,https://malaikalinens.com//products/carnation-place-cards-set-of-6,2026/01/28 03:35:37 PM,"Framed with a geometric carnation motif inspired by Ottoman samplers and a zig-zag border, these bold place cards in cardinal red are undeniably eye-catching.Perfect for displaying the names of your dinner guests, our Ottoman Carnation Place Cards will bring elegance and style to any tablescape. Pair with our Ottoman Carnation Cards for a seamless table setting no guest will forget. 300gsm paper card.
Size: 10cm x 6cm"
COW JAM JAR,Default Title,49.0,cow-jam-jar,46209482227979,True,PO-COW-JAR,https://malaikalinens.com//products/cow-jam-jar,2026/01/28 03:35:38 PM,"A most charming jar, pretty enough to decorate a shelf, but also practical for use in the kitchen.
Size (diameter):8cm width - 12cm height3.1"" - 4.7""Material:Frame: Clay, Fire Clay from Aswan - upper EgyptCover material: Gliss free of leadColors of earthen oxides.Our Fayoum Pottery is entirely handcrafted, so please allow for slight imperfections, little colour differences, and minor sizing differentiation. We believe these differences encapsulate the beauty and charm of handmade items. Every piece of our Fayoum Pottery is unique, making it a work of art in itself."
FELUCCA GUEST TOWEL (Set of 2),Default Title,59.0,felucca-guest-towel-set-of-2-copy,46123098079499,True,FLC-GUTW-82,https://malaikalinens.com//products/felucca-guest-towel-set-of-2-copy,2026/01/28 03:35:40 PM,"How about the Felucca Guest Towels for your bathroom? These exquisite linen towels feature two different hand painted and hand embroidered Feluccas and a delicate Ajour seam at the bottom.
Handcrafted at the Malaika Embroidery Training Centre (TOH) in Cairo.Size: 40cm x 70cm15.8"" x 27.6""
Material: 100% Linen"
CROCHET NAPKIN,pink,29.0,crochet-napkin,46123033461003,True,CR-NP-11,https://malaikalinens.com//products/crochet-napkin,2026/01/28 03:35:42 PM,"Add colour and fun to your dining experience with our Crochet Napkin. Crafted from high-quality linen, each napkin features a charming hand-crocheted border in a complementary hue. Handmade by the skilled women at ToH, these napkins are a beautiful addition to any table setting and are made to match many of our placemats and tablecloths.
Size:46cm x 46cm18"" x 18""100% Linen (Ecru Linen)

"
CROCHET NAPKIN,amber,29.0,crochet-napkin,46123033493771,True,CR-NP-05,https://malaikalinens.com//products/crochet-napkin,2026/01/28 03:35:42 PM,"Add colour and fun to your dining experience with our Crochet Napkin. Crafted from high-quality linen, each napkin features a charming hand-crocheted border in a complementary hue. Handmade by the skilled women at ToH, these napkins are a beautiful addition to any table setting and are made to match many of our placemats and tablecloths.
Size:46cm x 46cm18"" x 18""100% Linen (Ecru Linen)

"
CROCHET NAPKIN,teal,29.0,crochet-napkin,46123033526539,True,CR-NP-15,https://malaikalinens.com//products/crochet-napkin,2026/01/28 03:35:42 PM,"Add colour and fun to your dining experience with our Crochet Napkin. Crafted from high-quality linen, each napkin features a charming hand-crocheted border in a complementary hue. Handmade by the skilled women at ToH, these napkins are a beautiful addition to any table setting and are made to match many of our placemats and tablecloths.
Size:46cm x 46cm18"" x 18""100% Linen (Ecru Linen)

"
CROCHET NAPKIN,terracotta,29.0,crochet-napkin,46123034050827,True,CR-NP-73,https://malaikalinens.com//products/crochet-napkin,2026/01/28 03:35:42 PM,"Add colour and fun to your dining experience with our Crochet Napkin. Crafted from high-quality linen, each napkin features a charming hand-crocheted border in a complementary hue. Handmade by the skilled women at ToH, these napkins are a beautiful addition to any table setting and are made to match many of our placemats and tablecloths.
Size:46cm x 46cm18"" x 18""100% Linen (Ecru Linen)

"
CROCHET NAPKIN,ecru/green,29.0,crochet-napkin,52538699350283,True,CR-NP-33-19,https://malaikalinens.com//products/crochet-napkin,2026/01/28 03:35:42 PM,"Add colour and fun to your dining experience with our Crochet Napkin. Crafted from high-quality linen, each napkin features a charming hand-crocheted border in a complementary hue. Handmade by the skilled women at ToH, these napkins are a beautiful addition to any table setting and are made to match many of our placemats and tablecloths.
Size:46cm x 46cm18"" x 18""100% Linen (Ecru Linen)

"
CROCHET NAPKIN,ecru/teal,29.0,crochet-napkin,52538699383051,True,CR-NP-33-15,https://malaikalinens.com//products/crochet-napkin,2026/01/28 03:35:42 PM,"Add colour and fun to your dining experience with our Crochet Napkin. Crafted from high-quality linen, each napkin features a charming hand-crocheted border in a complementary hue. Handmade by the skilled women at ToH, these napkins are a beautiful addition to any table setting and are made to match many of our placemats and tablecloths.
Size:46cm x 46cm18"" x 18""100% Linen (Ecru Linen)

"
CAMOMILE BEDDING,Flat Sheet / King Size (275cm x 290cm) / red,273.0,flower,31890996985933,True,CMM-KS-16,https://malaikalinens.com//products/flower,2026/01/28 03:35:44 PM,"Our Camomile collection was inspired by a vintage copper monogram plate, gifted to us by a dear friend of Malaika’s.
Camomile flowers are delicately hand-embroidered and are scattered on the bedding. The Ancient Egyptians, like many of us today, appreciated the calming properties of camomile. So, what better way to inspire a good night’s sleep.Malaika’s bedding is woven from the highest quality Egyptian cotton percale. Our 320-thread-count bedding has a unique feel; the fabric is the perfect combination of a silky-smooth touch and crispness, that only gets better with time. We are proud to make products that last a lifetime.
- Duvet covers have button closures- Pillow cases have an envelope closure- Large cushion covers come in sets of two and have a button closure100% Egyptian Cotton
If you can’t find your size: We are proud to offer our luxury bed linen in all bed sizes including all US-sizes (Twin, Twin XL, Queen, King and California King etc.) without additional cost. Please contact our customer service by mail (customer-service@malaikalinens.com) or call +49 30 804 990 42 for your inquiry.
Pictured with filling. Pillows/Duvets not included, available to order separately (see bottom of page)."
CAMOMILE BEDDING,Flat Sheet / King Size (275cm x 290cm) / teal,273.0,flower,31890997018701,True,CMM-KS-15,https://malaikalinens.com//products/flower,2026/01/28 03:35:44 PM,"Our Camomile collection was inspired by a vintage copper monogram plate, gifted to us by a dear friend of Malaika’s.
Camomile flowers are delicately hand-embroidered and are scattered on the bedding. The Ancient Egyptians, like many of us today, appreciated the calming properties of camomile. So, what better way to inspire a good night’s sleep.Malaika’s bedding is woven from the highest quality Egyptian cotton percale. Our 320-thread-count bedding has a unique feel; the fabric is the perfect combination of a silky-smooth touch and crispness, that only gets better with time. We are proud to make products that last a lifetime.
- Duvet covers have button closures- Pillow cases have an envelope closure- Large cushion covers come in sets of two and have a button closure100% Egyptian Cotton
If you can’t find your size: We are proud to offer our luxury bed linen in all bed sizes including all US-sizes (Twin, Twin XL, Queen, King and California King etc.) without additional cost. Please contact our customer service by mail (customer-service@malaikalinens.com) or call +49 30 804 990 42 for your inquiry.
Pictured with filling. Pillows/Duvets not included, available to order separately (see bottom of page)."
CAMOMILE BEDDING,Flat Sheet / King Size (275cm x 290cm) / yellow,273.0,flower,31890997051469,True,CMM-KS-05,https://malaikalinens.com//products/flower,2026/01/28 03:35:44 PM,"Our Camomile collection was inspired by a vintage copper monogram plate, gifted to us by a dear friend of Malaika’s.
Camomile flowers are delicately hand-embroidered and are scattered on the bedding. The Ancient Egyptians, like many of us today, appreciated the calming properties of camomile. So, what better way to inspire a good night’s sleep.Malaika’s bedding is woven from the highest quality Egyptian cotton percale. Our 320-thread-count bedding has a unique feel; the fabric is the perfect combination of a silky-smooth touch and crispness, that only gets better with time. We are proud to make products that last a lifetime.
- Duvet covers have button closures- Pillow cases have an envelope closure- Large cushion covers come in sets of two and have a button closure100% Egyptian Cotton
If you can’t find your size: We are proud to offer our luxury bed linen in all bed sizes including all US-sizes (Twin, Twin XL, Queen, King and California King etc.) without additional cost. Please contact our customer service by mail (customer-service@malaikalinens.com) or call +49 30 804 990 42 for your inquiry.
Pictured with filling. Pillows/Duvets not included, available to order separately (see bottom of page)."
CAMOMILE BEDDING,Flat Sheet / Queen Size (245cm x 290cm) / red,250.0,flower,31890997117005,True,CMM-QS-16,https://malaikalinens.com//products/flower,2026/01/28 03:35:44 PM,"Our Camomile collection was inspired by a vintage copper monogram plate, gifted to us by a dear friend of Malaika’s.
Camomile flowers are delicately hand-embroidered and are scattered on the bedding. The Ancient Egyptians, like many of us today, appreciated the calming properties of camomile. So, what better way to inspire a good night’s sleep.Malaika’s bedding is woven from the highest quality Egyptian cotton percale. Our 320-thread-count bedding has a unique feel; the fabric is the perfect combination of a silky-smooth touch and crispness, that only gets better with time. We are proud to make products that last a lifetime.
- Duvet covers have button closures- Pillow cases have an envelope closure- Large cushion covers come in sets of two and have a button closure100% Egyptian Cotton
If you can’t find your size: We are proud to offer our luxury bed linen in all bed sizes including all US-sizes (Twin, Twin XL, Queen, King and California King etc.) without additional cost. Please contact our customer service by mail (customer-service@malaikalinens.com) or call +49 30 804 990 42 for your inquiry.
Pictured with filling. Pillows/Duvets not included, available to order separately (see bottom of page)."
CAMOMILE BEDDING,Flat Sheet / Queen Size (245cm x 290cm) / teal,250.0,flower,31890997149773,True,CMM-QS-15,https://malaikalinens.com//products/flower,2026/01/28 03:35:44 PM,"Our Camomile collection was inspired by a vintage copper monogram plate, gifted to us by a dear friend of Malaika’s.
Camomile flowers are delicately hand-embroidered and are scattered on the bedding. The Ancient Egyptians, like many of us today, appreciated the calming properties of camomile. So, what better way to inspire a good night’s sleep.Malaika’s bedding is woven from the highest quality Egyptian cotton percale. Our 320-thread-count bedding has a unique feel; the fabric is the perfect combination of a silky-smooth touch and crispness, that only gets better with time. We are proud to make products that last a lifetime.
- Duvet covers have button closures- Pillow cases have an envelope closure- Large cushion covers come in sets of two and have a button closure100% Egyptian Cotton
If you can’t find your size: We are proud to offer our luxury bed linen in all bed sizes including all US-sizes (Twin, Twin XL, Queen, King and California King etc.) without additional cost. Please contact our customer service by mail (customer-service@malaikalinens.com) or call +49 30 804 990 42 for your inquiry.
Pictured with filling. Pillows/Duvets not included, available to order separately (see bottom of page)."
