Product,Variant,Price,Handle,Inventory Management,Variant ID,Availability,SKU,Product URL,Scraped at,Description,Hollistic Description
1 Line Jacquard Towel,"Hand towel / white, Hand towel / Coal",480.0,1-line-jacquard-towel,shopify,"44613386830018, 44613390401730",True,nan,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/02/11 04:40:51 PM,100% egyptian cotton sizes: Hand Towel: 50x100   cm Face Towel:  70x140   cm Bath Towel:  100x160 cm,"1 Line Jacquard Towel - Hand towel / white, Hand towel / Coal: 100% egyptian cotton sizes: Hand Towel: 50x100   cm Face Towel:  70x140   cm Bath Towel:  100x160 cm"
1 Line Jacquard Towel,"Face Towel / white, Face Towel / Coal",740.0,1-line-jacquard-towel,shopify,"44613386895554, 44613390434498",True,nan,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/02/11 04:40:51 PM,100% egyptian cotton sizes: Hand Towel: 50x100   cm Face Towel:  70x140   cm Bath Towel:  100x160 cm,"1 Line Jacquard Towel - Face Towel / white, Face Towel / Coal: 100% egyptian cotton sizes: Hand Towel: 50x100   cm Face Towel:  70x140   cm Bath Towel:  100x160 cm"
1 Line Jacquard Towel,"Bath Towel / white, Bath Towel / Coal",980.0,1-line-jacquard-towel,shopify,"44613386961090, 44613390467266",True,nan,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/02/11 04:40:51 PM,100% egyptian cotton sizes: Hand Towel: 50x100   cm Face Towel:  70x140   cm Bath Towel:  100x160 cm,"1 Line Jacquard Towel - Bath Towel / white, Bath Towel / Coal: 100% egyptian cotton sizes: Hand Towel: 50x100   cm Face Towel:  70x140   cm Bath Towel:  100x160 cm"
1 line Towel set (3 pcs),"white, cafè",1880.0,1-line-towel-set-3-pcs,,"44364304974018, 44364327551170",True,nan,https://eg.lilly-home.com//products/1-line-towel-set-3-pcs,2026/02/11 04:40:49 PM,A 100% Egyptian Cotton High absorption 3 piece Towel Set contains: 1 Hand Towel (50x30) 1 Face Towel (50x100) 1 Bath Towel (100x160) ,"1 line Towel set (3 pcs) - white, cafè: A 100% Egyptian Cotton High absorption 3 piece Towel Set contains: 1 Hand Towel (50x30) 1 Face Towel (50x100) 1 Bath Towel (100x160) "
100% Linen Chemise,"S / Pink, S / Navy Blue, S / Green, S / yellow, M / Pink, M / Navy Blue, M / Green, M / yellow, L / Pink, L / Navy Blue, L / Green, L / yellow",2010.0,set-short-and-chemise,shopify,"41127631880386, 42257359700162, 42257359732930, 43008747143362, 41127632240834, 42257359765698, 42257359798466, 43008747176130, 41127633125570, 42257359831234, 42257359864002, 43008747208898",True,nan,https://eg.lilly-home.com//products/set-short-and-chemise,2026/02/11 04:40:52 PM,Material: 100% Linen,"100% Linen Chemise - S / Pink, S / Navy Blue, S / Green, S / yellow, M / Pink, M / Navy Blue, M / Green, M / yellow, L / Pink, L / Navy Blue, L / Green, L / yellow: Material: 100% Linen"
100% Linen Chemise,"S / Beige, S / White, M / Beige, M / White, L / Beige, L / White",2680.0,set-short-and-chemise,,"41072282730690, 41127627456706, 41072282697922, 41127629750466, 41072282665154, 41127631061186",True,nan,https://eg.lilly-home.com//products/set-short-and-chemise,2026/02/11 04:40:52 PM,Material: 100% Linen,"100% Linen Chemise - S / Beige, S / White, M / Beige, M / White, L / Beige, L / White: Material: 100% Linen"
100%Linen Red line Duvet cover,"Superking (260x240) / Beige, king (240x220) / Beige",8690.0,red-line-linen-duvet-cover-copy,,"45151471796418, 45151471861954",True,nan,https://eg.lilly-home.com//products/red-line-linen-duvet-cover-copy,2026/02/11 04:40:55 PM,A 100% Egyptian Linen embroidered duvet set consists of : 1 embroidered duvet cover 2 embroidered pillow cases ,"100%Linen Red line Duvet cover - Superking (260x240) / Beige, king (240x220) / Beige: A 100% Egyptian Linen embroidered duvet set consists of : 1 embroidered duvet cover 2 embroidered pillow cases "
400 TC Plain Bedsheet (3pcs),"Single / white / Flat, Single / white / Fitted, Single / Baby Blue / Flat, Single / Baby Blue / Fitted, Single / Lilac / Flat, Single / Lilac / Fitted, Single / Pastel Green / Flat, Single / Pastel Green / Fitted",2480.0,copy-of-plain-duvet-cover-3pcs,,"42044045951170, 42044058009794, 42044045983938, 42044058042562, 42044046049474, 42044058075330, 42044046115010, 42044058108098",True,nan,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/02/11 04:40:54 PM, A 400 thread count cotton 3 piece set that consists of :,"400 TC Plain Bedsheet (3pcs) - Single / white / Flat, Single / white / Fitted, Single / Baby Blue / Flat, Single / Baby Blue / Fitted, Single / Lilac / Flat, Single / Lilac / Fitted, Single / Pastel Green / Flat, Single / Pastel Green / Fitted:  A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),"King / white / Flat, King / white / Fitted, King / Baby Blue / Flat, King / Baby Blue / Fitted, King / Lilac / Flat, King / Lilac / Fitted, King / Pastel Green / Flat, King / Pastel Green / Fitted, Queen / white / Flat, Queen / white / Fitted, Queen / Baby Blue / Flat, Queen / Baby Blue / Fitted, Queen / Lilac / Flat, Queen / Lilac / Fitted, Queen / Pastel Green / Flat, Queen / Pastel Green / Fitted",2680.0,copy-of-plain-duvet-cover-3pcs,,"42044045590722, 42044057747650, 42044045623490, 42044057780418, 42044045656258, 42044057813186, 42044045689026, 42044057845954, 42044045721794, 42044057878722, 42044045754562, 42044057911490, 42044045820098, 42044057944258, 42044045885634, 42044057977026",True,nan,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/02/11 04:40:54 PM, A 400 thread count cotton 3 piece set that consists of :,"400 TC Plain Bedsheet (3pcs) - King / white / Flat, King / white / Fitted, King / Baby Blue / Flat, King / Baby Blue / Fitted, King / Lilac / Flat, King / Lilac / Fitted, King / Pastel Green / Flat, King / Pastel Green / Fitted, Queen / white / Flat, Queen / white / Fitted, Queen / Baby Blue / Flat, Queen / Baby Blue / Fitted, Queen / Lilac / Flat, Queen / Lilac / Fitted, Queen / Pastel Green / Flat, Queen / Pastel Green / Fitted:  A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet set,"Superking (200x200) / white, Superking (200x200) / off white, Superking (200x200) / grey, Superking (200x200) / aqua, Superking (200x200) / silver, king (180x200) / white, king (180x200) / off white, king (180x200) / grey, king (180x200) / aqua, king (180x200) / silver, Queen (160*200) / white, Queen (160*200) / off white, Queen (160*200) / grey, Queen (160*200) / aqua, Queen (160*200) / silver, double (120x200) / white, double (120x200) / off white, double (120x200) / grey, double (120x200) / aqua, double (120x200) / silver",2680.0,plain-bedsheet-set-350-tc,,"42795139989698, 42795140022466, 42795140055234, 42795140088002, 42795140120770, 42795140153538, 42795140186306, 42795140219074, 42795140251842, 42795140284610, 45679567995074, 45679568027842, 45679568060610, 45679568093378, 45679568126146, 42795140317378, 42795140350146, 42795140382914, 42795140415682, 42795140448450",True,nan,https://eg.lilly-home.com//products/plain-bedsheet-set-350-tc,2026/02/11 04:41:03 PM,A 100% Egyptian cotton 400 Thread count fine Bedsheet set consists of : 1 Fitted Bedsheet (400 TC) 2 pillow cases (400 TC) (50x70 cm) ,"400 TC Plain Bedsheet set - Superking (200x200) / white, Superking (200x200) / off white, Superking (200x200) / grey, Superking (200x200) / aqua, Superking (200x200) / silver, king (180x200) / white, king (180x200) / off white, king (180x200) / grey, king (180x200) / aqua, king (180x200) / silver, Queen (160*200) / white, Queen (160*200) / off white, Queen (160*200) / grey, Queen (160*200) / aqua, Queen (160*200) / silver, double (120x200) / white, double (120x200) / off white, double (120x200) / grey, double (120x200) / aqua, double (120x200) / silver: A 100% Egyptian cotton 400 Thread count fine Bedsheet set consists of : 1 Fitted Bedsheet (400 TC) 2 pillow cases (400 TC) (50x70 cm) "
