Availability,Color,Description,Handle,Inventory Management,Price,Product,Product URL,SKU,Scraped at,Size,Style,Variant,Variant ID,Weight,size
True,white,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",1-line-towel-set-3-pcs,,1880.0,1 line Towel set (3 pcs),https://eg.lilly-home.com//products/1-line-towel-set-3-pcs,,2026/02/11 04:40:49 PM,,,white,44364304974018,1350,
True,cafè,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",1-line-towel-set-3-pcs,,1880.0,1 line Towel set (3 pcs),https://eg.lilly-home.com//products/1-line-towel-set-3-pcs,,2026/02/11 04:40:49 PM,,,cafè,44364327551170,1350,
True,white,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm",1-line-jacquard-towel,shopify,480.0,1 Line Jacquard Towel,https://eg.lilly-home.com//products/1-line-jacquard-towel,,2026/02/11 04:40:51 PM,Hand towel,,Hand towel / white,44613386830018,250,
True,Coal,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm",1-line-jacquard-towel,shopify,480.0,1 Line Jacquard Towel,https://eg.lilly-home.com//products/1-line-jacquard-towel,,2026/02/11 04:40:51 PM,Hand towel,,Hand towel / Coal,44613390401730,250,
True,white,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm",1-line-jacquard-towel,shopify,740.0,1 Line Jacquard Towel,https://eg.lilly-home.com//products/1-line-jacquard-towel,,2026/02/11 04:40:51 PM,Face Towel,,Face Towel / white,44613386895554,450,
True,Coal,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm",1-line-jacquard-towel,shopify,740.0,1 Line Jacquard Towel,https://eg.lilly-home.com//products/1-line-jacquard-towel,,2026/02/11 04:40:51 PM,Face Towel,,Face Towel / Coal,44613390434498,450,
True,white,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm",1-line-jacquard-towel,shopify,980.0,1 Line Jacquard Towel,https://eg.lilly-home.com//products/1-line-jacquard-towel,,2026/02/11 04:40:51 PM,Bath Towel,,Bath Towel / white,44613386961090,700,
True,Coal,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm",1-line-jacquard-towel,shopify,980.0,1 Line Jacquard Towel,https://eg.lilly-home.com//products/1-line-jacquard-towel,,2026/02/11 04:40:51 PM,Bath Towel,,Bath Towel / Coal,44613390467266,700,
True,Beige,Material: 100% Linen,set-short-and-chemise,,2680.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,S,,S / Beige,41072282730690,0,
True,White,Material: 100% Linen,set-short-and-chemise,,2680.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,S,,S / White,41127627456706,0,
True,Pink,Material: 100% Linen,set-short-and-chemise,,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,S,,S / Pink,41127631880386,0,
True,Navy Blue,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,S,,S / Navy Blue,42257359700162,0,
True,Green,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,S,,S / Green,42257359732930,0,
True,yellow,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,S,,S / yellow,43008747143362,0,
True,Beige,Material: 100% Linen,set-short-and-chemise,,2680.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,M,,M / Beige,41072282697922,0,
True,White,Material: 100% Linen,set-short-and-chemise,,2680.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,M,,M / White,41127629750466,0,
True,Pink,Material: 100% Linen,set-short-and-chemise,,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,M,,M / Pink,41127632240834,0,
True,Navy Blue,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,M,,M / Navy Blue,42257359765698,0,
True,Green,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,M,,M / Green,42257359798466,0,
True,yellow,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,M,,M / yellow,43008747176130,0,
True,Beige,Material: 100% Linen,set-short-and-chemise,,2680.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,L,,L / Beige,41072282665154,0,
True,White,Material: 100% Linen,set-short-and-chemise,,2680.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,L,,L / White,41127631061186,0,
True,Pink,Material: 100% Linen,set-short-and-chemise,,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,L,,L / Pink,41127633125570,0,
True,Navy Blue,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,L,,L / Navy Blue,42257359831234,0,
True,Green,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,L,,L / Green,42257359864002,0,
True,yellow,Material: 100% Linen,set-short-and-chemise,shopify,2010.0,100% Linen Chemise,https://eg.lilly-home.com//products/set-short-and-chemise,,2026/02/11 04:40:52 PM,L,,L / yellow,43008747208898,0,
True,white,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Flat,King / white / Flat,42044045590722,1500,
True,white,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Fitted,King / white / Fitted,42044057747650,1500,
True,Baby Blue,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Flat,King / Baby Blue / Flat,42044045623490,1500,
True,Baby Blue,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Fitted,King / Baby Blue / Fitted,42044057780418,1500,
True,Lilac,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Flat,King / Lilac / Flat,42044045656258,1500,
True,Lilac,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Fitted,King / Lilac / Fitted,42044057813186,1500,
True,Pastel Green,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Flat,King / Pastel Green / Flat,42044045689026,1500,
True,Pastel Green,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,King,Fitted,King / Pastel Green / Fitted,42044057845954,1500,
True,white,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Flat,Queen / white / Flat,42044045721794,1500,
True,white,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Fitted,Queen / white / Fitted,42044057878722,1500,
True,Baby Blue,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Flat,Queen / Baby Blue / Flat,42044045754562,1500,
True,Baby Blue,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Fitted,Queen / Baby Blue / Fitted,42044057911490,1500,
True,Lilac,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Flat,Queen / Lilac / Flat,42044045820098,1500,
True,Lilac,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Fitted,Queen / Lilac / Fitted,42044057944258,1500,
True,Pastel Green,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Flat,Queen / Pastel Green / Flat,42044045885634,1500,
True,Pastel Green,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2680.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Queen,Fitted,Queen / Pastel Green / Fitted,42044057977026,1500,
True,white,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Flat,Single / white / Flat,42044045951170,1500,
True,white,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Fitted,Single / white / Fitted,42044058009794,1500,
True,Baby Blue,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Flat,Single / Baby Blue / Flat,42044045983938,1500,
True,Baby Blue,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Fitted,Single / Baby Blue / Fitted,42044058042562,1500,
True,Lilac,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Flat,Single / Lilac / Flat,42044046049474,1500,
True,Lilac,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Fitted,Single / Lilac / Fitted,42044058075330,1500,
True,Pastel Green,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Flat,Single / Pastel Green / Flat,42044046115010,1500,
True,Pastel Green,"
A 400 thread count cotton 3 piece set that consists of :",copy-of-plain-duvet-cover-3pcs,,2480.0,400 TC Plain Bedsheet (3pcs),https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,,2026/02/11 04:40:54 PM,Single,Fitted,Single / Pastel Green / Fitted,42044058108098,1500,
True,Beige,"A 100% Egyptian Linen embroidered duvet set consists of :
1 embroidered duvet cover
2 embroidered pillow cases
",red-line-linen-duvet-cover-copy,,8690.0,100%Linen Red line Duvet cover,https://eg.lilly-home.com//products/red-line-linen-duvet-cover-copy,,2026/02/11 04:40:55 PM,Superking (260x240),,Superking (260x240) / Beige,45151471796418,2000,
True,Beige,"A 100% Egyptian Linen embroidered duvet set consists of :
1 embroidered duvet cover
2 embroidered pillow cases
",red-line-linen-duvet-cover-copy,,8690.0,100%Linen Red line Duvet cover,https://eg.lilly-home.com//products/red-line-linen-duvet-cover-copy,,2026/02/11 04:40:55 PM,king (240x220),,king (240x220) / Beige,45151471861954,2000,
True,white,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",5-lines-towel-set-6-pcs,,1880.0,5 Lines Towel set (3 pcs),https://eg.lilly-home.com//products/5-lines-towel-set-6-pcs,,2026/02/11 04:40:57 PM,,,white,42780863987906,1350,
True,beige,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",5-lines-towel-set-6-pcs,,1880.0,5 Lines Towel set (3 pcs),https://eg.lilly-home.com//products/5-lines-towel-set-6-pcs,,2026/02/11 04:40:57 PM,,,beige,42780864020674,1350,
True,silver,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",5-lines-towel-set-6-pcs,,1880.0,5 Lines Towel set (3 pcs),https://eg.lilly-home.com//products/5-lines-towel-set-6-pcs,,2026/02/11 04:40:57 PM,,,silver,42780864053442,1350,
True,cafe,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",5-lines-towel-set-6-pcs,,1880.0,5 Lines Towel set (3 pcs),https://eg.lilly-home.com//products/5-lines-towel-set-6-pcs,,2026/02/11 04:40:57 PM,,,cafe,42780864086210,1350,
True,grey,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",5-lines-towel-set-6-pcs,,1880.0,5 Lines Towel set (3 pcs),https://eg.lilly-home.com//products/5-lines-towel-set-6-pcs,,2026/02/11 04:40:57 PM,,,grey,42780864118978,1350,
True,aqua,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
",5-lines-towel-set-6-pcs,,1880.0,5 Lines Towel set (3 pcs),https://eg.lilly-home.com//products/5-lines-towel-set-6-pcs,,2026/02/11 04:40:57 PM,,,aqua,42780864151746,1350,
True,white,"A 100% Egyptian cotton
600 Thread count fine Bedsheet set consists of :
1 Fitted Bedsheet (600TC)
2 pillow cases (600 TC) (50x70 cm)
",600-tc-plain-bedsheet-set-copy,,4180.0,600 TC Plain Bedsheet set,https://eg.lilly-home.com//products/600-tc-plain-bedsheet-set-copy,,2026/02/11 04:40:59 PM,Superking (200x200),,Superking (200x200) / white,45812760445122,1500,
True,grey,"A 100% Egyptian cotton
600 Thread count fine Bedsheet set consists of :
1 Fitted Bedsheet (600TC)
2 pillow cases (600 TC) (50x70 cm)
",600-tc-plain-bedsheet-set-copy,,4180.0,600 TC Plain Bedsheet set,https://eg.lilly-home.com//products/600-tc-plain-bedsheet-set-copy,,2026/02/11 04:40:59 PM,Superking (200x200),,Superking (200x200) / grey,45812760510658,1500,
True,silver,"A 100% Egyptian cotton
600 Thread count fine Bedsheet set consists of :
1 Fitted Bedsheet (600TC)
2 pillow cases (600 TC) (50x70 cm)
",600-tc-plain-bedsheet-set-copy,,4180.0,600 TC Plain Bedsheet set,https://eg.lilly-home.com//products/600-tc-plain-bedsheet-set-copy,,2026/02/11 04:40:59 PM,Superking (200x200),,Superking (200x200) / silver,45812760576194,1500,
True,white,"A 100% Egyptian cotton
600 Thread count fine Bedsheet set consists of :
1 Fitted Bedsheet (600TC)
2 pillow cases (600 TC) (50x70 cm)
",600-tc-plain-bedsheet-set-copy,,4180.0,600 TC Plain Bedsheet set,https://eg.lilly-home.com//products/600-tc-plain-bedsheet-set-copy,,2026/02/11 04:40:59 PM,king (180x200),,king (180x200) / white,45812760608962,1500,
True,grey,"A 100% Egyptian cotton
600 Thread count fine Bedsheet set consists of :
1 Fitted Bedsheet (600TC)
2 pillow cases (600 TC) (50x70 cm)
",600-tc-plain-bedsheet-set-copy,,4180.0,600 TC Plain Bedsheet set,https://eg.lilly-home.com//products/600-tc-plain-bedsheet-set-copy,,2026/02/11 04:40:59 PM,king (180x200),,king (180x200) / grey,45812760674498,1500,
True,silver,"A 100% Egyptian cotton
600 Thread count fine Bedsheet set consists of :
1 Fitted Bedsheet (600TC)
2 pillow cases (600 TC) (50x70 cm)
",600-tc-plain-bedsheet-set-copy,,4180.0,600 TC Plain Bedsheet set,https://eg.lilly-home.com//products/600-tc-plain-bedsheet-set-copy,,2026/02/11 04:40:59 PM,king (180x200),,king (180x200) / silver,45812760740034,1500,
