Product,Handle,Price,SKU,Availability,Variant Title,Variant ID,Weight,Inventory Management,Product URL,Scraped at,Description
all over print salopette,all-over-print-salopette,429.9,867459,True,3m,48278485139763,0,shopify,https://lovelylandeg.com//products/all-over-print-salopette,2026/02/22 03:25:44 PM,
all over print salopette,all-over-print-salopette,429.9,867460,True,6m,51243512168755,0,shopify,https://lovelylandeg.com//products/all-over-print-salopette,2026/02/22 03:25:44 PM,
all over print salopette,all-over-print-salopette,429.9,867461,True,9m,51243512201523,0,shopify,https://lovelylandeg.com//products/all-over-print-salopette,2026/02/22 03:25:44 PM,
all over print salopette,all-over-print-salopette,429.9,867462,True,12m,51243512234291,0,shopify,https://lovelylandeg.com//products/all-over-print-salopette,2026/02/22 03:25:44 PM,
Barbie sweatshirt,barbie-sweatshirt,349.93,892250,False,2y,52673857683763,0,shopify,https://lovelylandeg.com//products/barbie-sweatshirt,2026/02/22 03:25:45 PM,Barbie sweatshirt
Barbie sweatshirt,barbie-sweatshirt,349.93,892251,False,4y,52673857716531,0,shopify,https://lovelylandeg.com//products/barbie-sweatshirt,2026/02/22 03:25:45 PM,Barbie sweatshirt
Barbie sweatshirt,barbie-sweatshirt,349.93,892252,False,6y,52673857749299,0,shopify,https://lovelylandeg.com//products/barbie-sweatshirt,2026/02/22 03:25:45 PM,Barbie sweatshirt
Barbie sweatshirt,barbie-sweatshirt,349.93,892253,False,8y,52673857782067,0,shopify,https://lovelylandeg.com//products/barbie-sweatshirt,2026/02/22 03:25:45 PM,Barbie sweatshirt
Barbie sweatshirt,barbie-sweatshirt,349.93,892254,False,10y,52673857814835,0,shopify,https://lovelylandeg.com//products/barbie-sweatshirt,2026/02/22 03:25:45 PM,Barbie sweatshirt
All over print pyjama,all-over-print-pyjama,419.93,893797,True,2y,52949213479219,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,419.93,893798,True,4y,52949213511987,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,419.93,893799,True,6y,52949213544755,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,454.93,893800,False,8y,52949213577523,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,454.93,893801,False,10y,52949213610291,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,524.93,893803,True,S,52949213643059,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,524.93,893805,True,M,52949213675827,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,524.93,893804,True,L,52949213708595,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
All over print pyjama,all-over-print-pyjama,524.93,893802,True,XL,52949213741363,0,shopify,https://lovelylandeg.com//products/all-over-print-pyjama,2026/02/22 03:25:46 PM,All over print long sleeve top and pants pyjama set
Batman pajamas,batman-pajamas-1,294.95,883648,False,5y,52455739523379,0,shopify,https://lovelylandeg.com//products/batman-pajamas-1,2026/02/22 03:25:47 PM,Batman pajamas
Batman pajamas,batman-pajamas-1,294.95,883649,False,6y,52455739556147,0,shopify,https://lovelylandeg.com//products/batman-pajamas-1,2026/02/22 03:25:47 PM,Batman pajamas
Baby jumpsuit,baby-jumpsuit,299.9,887119,True,nb,51598702084403,1000,shopify,https://lovelylandeg.com//products/baby-jumpsuit,2026/02/22 03:25:48 PM,Baby jumpsuit
Baby jumpsuit,baby-jumpsuit,299.9,887114,True,3m,51614623760691,1000,shopify,https://lovelylandeg.com//products/baby-jumpsuit,2026/02/22 03:25:48 PM,Baby jumpsuit
Baby jumpsuit,baby-jumpsuit,299.9,887115,True,6m,51614623793459,1000,shopify,https://lovelylandeg.com//products/baby-jumpsuit,2026/02/22 03:25:48 PM,Baby jumpsuit
Baby jumpsuit,baby-jumpsuit,299.9,887116,True,9m,51614623826227,1000,shopify,https://lovelylandeg.com//products/baby-jumpsuit,2026/02/22 03:25:48 PM,Baby jumpsuit
Barbie girls' gray pajamas,barbie-girls-gray-pajamas,349.95,883772,False,2y,52455144292659,0,shopify,https://lovelylandeg.com//products/barbie-girls-gray-pajamas,2026/02/22 03:25:49 PM,Barbie girls' gray pajamas
Barbie girls' gray pajamas,barbie-girls-gray-pajamas,349.95,883773,False,3y,52455144325427,0,shopify,https://lovelylandeg.com//products/barbie-girls-gray-pajamas,2026/02/22 03:25:49 PM,Barbie girls' gray pajamas
Barbie girls' gray pajamas,barbie-girls-gray-pajamas,349.95,883774,False,4y,52455144358195,0,shopify,https://lovelylandeg.com//products/barbie-girls-gray-pajamas,2026/02/22 03:25:49 PM,Barbie girls' gray pajamas
Barbie girls' gray pajamas,barbie-girls-gray-pajamas,349.95,883775,False,5y,52455144390963,0,shopify,https://lovelylandeg.com//products/barbie-girls-gray-pajamas,2026/02/22 03:25:49 PM,Barbie girls' gray pajamas
Barbie girls' gray pajamas,barbie-girls-gray-pajamas,349.95,883776,False,6y,52455144423731,0,shopify,https://lovelylandeg.com//products/barbie-girls-gray-pajamas,2026/02/22 03:25:49 PM,Barbie girls' gray pajamas
Barbie girls' gray pajamas,barbie-girls-gray-pajamas,349.95,883777,False,8y,52455144456499,0,shopify,https://lovelylandeg.com//products/barbie-girls-gray-pajamas,2026/02/22 03:25:49 PM,Barbie girls' gray pajamas
Baby dinosaur bodysuit,baby-dinosaur-bodysuit,429.9,887269,True,3m,51569627595059,1000,shopify,https://lovelylandeg.com//products/baby-dinosaur-bodysuit,2026/02/22 03:25:50 PM,Baby dinosaur bodysuit
Baby dinosaur bodysuit,baby-dinosaur-bodysuit,429.9,887270,True,6m,51569627627827,1000,shopify,https://lovelylandeg.com//products/baby-dinosaur-bodysuit,2026/02/22 03:25:50 PM,Baby dinosaur bodysuit
Baby dinosaur bodysuit,baby-dinosaur-bodysuit,429.9,887271,True,9m,51569627660595,1000,shopify,https://lovelylandeg.com//products/baby-dinosaur-bodysuit,2026/02/22 03:25:50 PM,Baby dinosaur bodysuit
Baby dinosaur bodysuit,baby-dinosaur-bodysuit,429.9,887273,True,18m,51569627726131,1000,shopify,https://lovelylandeg.com//products/baby-dinosaur-bodysuit,2026/02/22 03:25:50 PM,Baby dinosaur bodysuit
Baby Pink Pajamas Barbie,baby-pink-pajamas-barbie,299.95,877947,False,4y,52447057346867,0,shopify,https://lovelylandeg.com//products/baby-pink-pajamas-barbie,2026/02/22 03:25:51 PM,Baby Pink Pajamas Barbie
Baby Pink Pajamas Barbie,baby-pink-pajamas-barbie,299.95,877948,False,5y,52447057379635,0,shopify,https://lovelylandeg.com//products/baby-pink-pajamas-barbie,2026/02/22 03:25:51 PM,Baby Pink Pajamas Barbie
Baby Pink Pajamas Barbie,baby-pink-pajamas-barbie,299.95,877949,False,6y,52447057412403,0,shopify,https://lovelylandeg.com//products/baby-pink-pajamas-barbie,2026/02/22 03:25:51 PM,Baby Pink Pajamas Barbie
all over print dress with palm tree stitching,all-over-print-dress-with-palm-tree-stitching,679.9,867736,True,8y,48281251152179,0,shopify,https://lovelylandeg.com//products/all-over-print-dress-with-palm-tree-stitching,2026/02/22 03:25:52 PM,all over print dress with palm tree stitching
all over print dress with palm tree stitching,all-over-print-dress-with-palm-tree-stitching,679.9,867737,True,10y,51243514003763,0,shopify,https://lovelylandeg.com//products/all-over-print-dress-with-palm-tree-stitching,2026/02/22 03:25:52 PM,all over print dress with palm tree stitching
all over print dress with palm tree stitching,all-over-print-dress-with-palm-tree-stitching,679.9,867738,False,12y,51243514036531,0,shopify,https://lovelylandeg.com//products/all-over-print-dress-with-palm-tree-stitching,2026/02/22 03:25:52 PM,all over print dress with palm tree stitching
baby blue half sleeve onzie dolphine print,baby-blue-half-sleeve-onzie-dolphine-print,249.95,854503,False,6m,51243487953203,0,shopify,https://lovelylandeg.com//products/baby-blue-half-sleeve-onzie-dolphine-print,2026/02/22 03:25:53 PM,
baby blue half sleeve onzie dolphine print,baby-blue-half-sleeve-onzie-dolphine-print,499.9,854504,False,9m,51243487985971,0,shopify,https://lovelylandeg.com//products/baby-blue-half-sleeve-onzie-dolphine-print,2026/02/22 03:25:53 PM,
baby blue half sleeve onzie dolphine print,baby-blue-half-sleeve-onzie-dolphine-print,499.9,854505,False,12m,45254375244083,0,shopify,https://lovelylandeg.com//products/baby-blue-half-sleeve-onzie-dolphine-print,2026/02/22 03:25:53 PM,
baby blue half sleeve onzie dolphine print,baby-blue-half-sleeve-onzie-dolphine-print,499.9,854506,False,18m,51243488051507,0,shopify,https://lovelylandeg.com//products/baby-blue-half-sleeve-onzie-dolphine-print,2026/02/22 03:25:53 PM,
baby blue half sleeve onzie dolphine print,baby-blue-half-sleeve-onzie-dolphine-print,499.9,854507,False,24m,51243488084275,0,shopify,https://lovelylandeg.com//products/baby-blue-half-sleeve-onzie-dolphine-print,2026/02/22 03:25:53 PM,
baby romper in gray,baby-romper-in-gray,321.93,892193,False,3m,52660596441395,0,shopify,https://lovelylandeg.com//products/baby-romper-in-gray,2026/02/22 03:25:54 PM,baby romper in gray
baby romper in gray,baby-romper-in-gray,321.93,892194,False,6m,52660596474163,0,shopify,https://lovelylandeg.com//products/baby-romper-in-gray,2026/02/22 03:25:54 PM,baby romper in gray
baby romper in gray,baby-romper-in-gray,321.93,892195,False,9m,52660596506931,0,shopify,https://lovelylandeg.com//products/baby-romper-in-gray,2026/02/22 03:25:54 PM,baby romper in gray
baby romper in gray,baby-romper-in-gray,321.93,892196,False,12m,52660596539699,0,shopify,https://lovelylandeg.com//products/baby-romper-in-gray,2026/02/22 03:25:54 PM,baby romper in gray
baby dress in dusty pink,baby-dress-in-dusty-pink,321.93,893477,False,6m,52767783452979,0,shopify,https://lovelylandeg.com//products/baby-dress-in-dusty-pink,2026/02/22 03:25:55 PM,baby dress in dusty pink
baby dress in dusty pink,baby-dress-in-dusty-pink,321.93,893478,False,9m,52767783485747,0,shopify,https://lovelylandeg.com//products/baby-dress-in-dusty-pink,2026/02/22 03:25:55 PM,baby dress in dusty pink
baby dress in dusty pink,baby-dress-in-dusty-pink,321.93,893479,False,12m,52767783518515,0,shopify,https://lovelylandeg.com//products/baby-dress-in-dusty-pink,2026/02/22 03:25:55 PM,baby dress in dusty pink
baby dress in dusty pink,baby-dress-in-dusty-pink,321.93,893480,False,18m,52767783551283,0,shopify,https://lovelylandeg.com//products/baby-dress-in-dusty-pink,2026/02/22 03:25:55 PM,baby dress in dusty pink
baby dress in dusty pink,baby-dress-in-dusty-pink,321.93,893481,False,24m,52767783584051,0,shopify,https://lovelylandeg.com//products/baby-dress-in-dusty-pink,2026/02/22 03:25:55 PM,baby dress in dusty pink
Baby Bodysuit,baby-bodysuit-1,272.93,883640,False,nb,50833552572723,1000,shopify,https://lovelylandeg.com//products/baby-bodysuit-1,2026/02/22 03:25:56 PM,Baby Bodysuit
Baby Bodysuit,baby-bodysuit-1,272.93,883636,False,3m,50833552605491,1000,shopify,https://lovelylandeg.com//products/baby-bodysuit-1,2026/02/22 03:25:56 PM,Baby Bodysuit
