Product,Description,Price,Variant,SKU,Inventory Management,Handle,Product URL,Scraped at,Hollistic Description,SKUs
Anti-dandruff Cream,High Quality Cotton Blend and comfy Pandolen Anti-dandruff Cream 150 mlCODE :111709,140.0,Default Title,137070,shopify,111709,https://junior-tex.com//products/111709,2026/02/22 02:41:35 PM,Anti-dandruff Cream - Default Title: High Quality Cotton Blend and comfy Pandolen Anti-dandruff Cream 150 mlCODE :111709,137070
Anti-dandruff Shampoo,High Quality Cotton Blend and comfy Penduline Anti-dandruff Shampoo 300 mlCode :111389,160.0,Default Title,137069,shopify,111389,https://junior-tex.com//products/111389,2026/02/22 02:41:32 PM,Anti-dandruff Shampoo - Default Title: High Quality Cotton Blend and comfy Penduline Anti-dandruff Shampoo 300 mlCode :111389,137069
BABY CARRIER UNI BABY,"High Quality Carrier Uni Baby10330107• 4-in 1 Convertible position facing-in and facing-out design for newborns and older babies• Back support technique for maximum weight distribution• Waist strap for comfortable and safe carrying of your baby• Adjustable padded shoulder belt• Two safety side locks to make it easy to get your baby in and out• Oxford water proof fabrics from outside for easy cleaning and soft material fabrics from inside for your baby comfort.• Experience hands-free convenience with opportunities for bonding and developmental benefits, whether it’s running errands or exploring parks, there’s no place like close.• Baby weight limits from 3.5 – 13 Kilograms",750.0,Purple,97367,shopify,10330107,https://junior-tex.com//products/10330107,2026/02/22 02:41:46 PM,"BABY CARRIER UNI BABY - Purple: High Quality Carrier Uni Baby10330107• 4-in 1 Convertible position facing-in and facing-out design for newborns and older babies• Back support technique for maximum weight distribution• Waist strap for comfortable and safe carrying of your baby• Adjustable padded shoulder belt• Two safety side locks to make it easy to get your baby in and out• Oxford water proof fabrics from outside for easy cleaning and soft material fabrics from inside for your baby comfort.• Experience hands-free convenience with opportunities for bonding and developmental benefits, whether it’s running errands or exploring parks, there’s no place like close.• Baby weight limits from 3.5 – 13 Kilograms",97367
Baby  Bodysuit Pack Of 3 6213-74,High Premium Organic Egyptian CottonPrintedLong Sleeve Bodysuit Pack Of 3 cutieCode :6213-74Fabric : InterlockComposition :100 %Cotton,350.0,"Olive * Rose * Printed Olive / 0 - 3 Months, Olive * Rose * Printed Olive / 3 - 6 Months, Olive * Rose * Printed Olive / 6 - 9 Months, Olive * Rose * Printed Olive / 9 - 12 Months, Olive * Rose * Printed Olive / 12 - 18 Months, Olive * Rose * Printed Olive / 18 - 24 Months, Olive * Rose * Printed Olive / 24 - 36 Months",1174621303,shopify,6213-74,https://junior-tex.com//products/6213-74,2026/02/22 02:41:20 PM,"Baby  Bodysuit Pack Of 3 6213-74 - Olive * Rose * Printed Olive / 0 - 3 Months, Olive * Rose * Printed Olive / 3 - 6 Months, Olive * Rose * Printed Olive / 6 - 9 Months, Olive * Rose * Printed Olive / 9 - 12 Months, Olive * Rose * Printed Olive / 12 - 18 Months, Olive * Rose * Printed Olive / 18 - 24 Months, Olive * Rose * Printed Olive / 24 - 36 Months: High Premium Organic Egyptian CottonPrintedLong Sleeve Bodysuit Pack Of 3 cutieCode :6213-74Fabric : InterlockComposition :100 %Cotton",1174621303 1174621306 1174621309 1174621312 1174621318 1174621324 1174621336
Baby Bed All On Board,"High Quality Bed All On Board 10530103Waterproof fabric is easy to clean -1 Bed fixed-2 Fitted with a separate mattress of soft foam -3 has a mosquito net for child protection Easy to install and zipper to open from the middle -4 Mattress and mosquito net can be used without bed -5 Easy to store, open and lock -7 Bed size open : 100 * 60 * 60 cm Bed size locked: 70 * 15 *",1725.0,Fushia,132327,shopify,10530103,https://junior-tex.com//products/10530103,2026/02/22 02:41:26 PM,"Baby Bed All On Board - Fushia: High Quality Bed All On Board 10530103Waterproof fabric is easy to clean -1 Bed fixed-2 Fitted with a separate mattress of soft foam -3 has a mosquito net for child protection Easy to install and zipper to open from the middle -4 Mattress and mosquito net can be used without bed -5 Easy to store, open and lock -7 Bed size open : 100 * 60 * 60 cm Bed size locked: 70 * 15 *",132327
Baby Bed All On Board,"High Quality Bed All OnBoard 10530101Waterproof fabric is easy to clean -1 Bed fixed-2 Fitted with a separate mattress of soft foam -3 has a mosquito net for child protection Easy to install and zipper to open from the middle -4 Mattress and mosquito net can be used without bed -5 Easy to store, open and lock -7 Bed size open : 100 * 60 * 60 cm Bed size locked: 70 * 15 *",1725.0,Beige,132325,shopify,10530101,https://junior-tex.com//products/10530101,2026/02/22 02:41:08 PM,"Baby Bed All On Board - Beige: High Quality Bed All OnBoard 10530101Waterproof fabric is easy to clean -1 Bed fixed-2 Fitted with a separate mattress of soft foam -3 has a mosquito net for child protection Easy to install and zipper to open from the middle -4 Mattress and mosquito net can be used without bed -5 Easy to store, open and lock -7 Bed size open : 100 * 60 * 60 cm Bed size locked: 70 * 15 *",132325
Baby Bodysuit 5200,High Premium Organic Egyptian Cotton Printed Short Sleeve Body 5200 100 % Cotton,95.0,"White / 24 - 36 Months, White / 18 - 24 Months, White / 12 - 18 Months, White / 9 - 12 Months, White / 6 - 9 Months, White / 3 - 6 Months, White / 0 - 3 Months",1100520036,shopify,5200,https://junior-tex.com//products/5200,2026/02/22 02:41:03 PM,"Baby Bodysuit 5200 - White / 24 - 36 Months, White / 18 - 24 Months, White / 12 - 18 Months, White / 9 - 12 Months, White / 6 - 9 Months, White / 3 - 6 Months, White / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Body 5200 100 % Cotton",1100520036 1100520024 1100520018 1100520012 1100520009 1100520006 1100520003
Baby Bodysuit 7201,High Quality Cotton Blend and comfy Printed Sleeveless Body7201 100 % Cotton,95.0,"Pink / 0 - 3 Months, Pink / 3 - 6 Months, Pink / 6 - 9 Months, Pink / 9 - 12 Months, Pink / 12 - 18 Months, Pink / 18 - 24 Months, Yellow / 0 - 3 Months, Yellow / 3 - 6 Months, Yellow / 6 - 9 Months, Yellow / 9 - 12 Months, Yellow / 12 - 18 Months, Yellow / 18 - 24 Months, Rose / 0 - 3 Months, Rose / 3 - 6 Months, Rose / 6 - 9 Months, Rose / 9 - 12 Months, Rose / 12 - 18 Months, Rose / 18 - 24 Months, Apple / 0 - 3 Months, Apple / 3 - 6 Months, Apple / 6 - 9 Months, Apple / 9 - 12 Months, Apple / 12 - 18 Months, Apple / 18 - 24 Months, Melange / 0 - 3 Months, Melange / 3 - 6 Months, Melange / 6 - 9 Months, Melange / 9 - 12 Months, Melange / 12 - 18 Months, Melange / 18 - 24 Months, Turqouise / 0 - 3 Months, Turqouise / 3 - 6 Months, Turqouise / 6 - 9 Months, Turqouise / 9 - 12 Months, Turqouise / 12 - 18 Months, Turqouise / 18 - 24 Months",1103720103,shopify,7201,https://junior-tex.com//products/7201,2026/02/22 02:41:22 PM,"Baby Bodysuit 7201 - Pink / 0 - 3 Months, Pink / 3 - 6 Months, Pink / 6 - 9 Months, Pink / 9 - 12 Months, Pink / 12 - 18 Months, Pink / 18 - 24 Months, Yellow / 0 - 3 Months, Yellow / 3 - 6 Months, Yellow / 6 - 9 Months, Yellow / 9 - 12 Months, Yellow / 12 - 18 Months, Yellow / 18 - 24 Months, Rose / 0 - 3 Months, Rose / 3 - 6 Months, Rose / 6 - 9 Months, Rose / 9 - 12 Months, Rose / 12 - 18 Months, Rose / 18 - 24 Months, Apple / 0 - 3 Months, Apple / 3 - 6 Months, Apple / 6 - 9 Months, Apple / 9 - 12 Months, Apple / 12 - 18 Months, Apple / 18 - 24 Months, Melange / 0 - 3 Months, Melange / 3 - 6 Months, Melange / 6 - 9 Months, Melange / 9 - 12 Months, Melange / 12 - 18 Months, Melange / 18 - 24 Months, Turqouise / 0 - 3 Months, Turqouise / 3 - 6 Months, Turqouise / 6 - 9 Months, Turqouise / 9 - 12 Months, Turqouise / 12 - 18 Months, Turqouise / 18 - 24 Months: High Quality Cotton Blend and comfy Printed Sleeveless Body7201 100 % Cotton",1103720103 1103720106 1103720109 1103720112 1103720118 1103720124 1105720103 1105720106 1105720109 1105720112 1105720118 1105720124 1113720103 1113720106 1113720109 1113720112 1113720118 1113720124 1114720103 1114720106 1114720109 1114720112 1114720118 1114720124 1117720103 1117720106 1117720109 1117720112 1117720118 1117720124 1123720103 1123720106 1123720109 1123720112 1123720118 1123720124
Baby Bodysuit Pack Of 3,High Premium Organic Egyptian Cotton Long Sleeve Body Pack Of 3 100 % Cotton 6213-24,350.0,"Grey  *  Pink  *  Strip / 24 - 36 Months, Grey  *  Pink  *  Strip / 18 - 24 Months, Grey  *  Pink  *  Strip / 12 - 18 Months, Grey  *  Pink  *  Strip / 9 - 12 Months, Grey  *  Pink  *  Strip / 6 - 9 Months, Grey  *  Pink  *  Strip / 3 - 6 Months, Grey  *  Pink  *  Strip / 0 - 3 Months",1124621336,shopify,6213-24,https://junior-tex.com//products/6213-24,2026/02/22 02:41:30 PM,"Baby Bodysuit Pack Of 3 - Grey  *  Pink  *  Strip / 24 - 36 Months, Grey  *  Pink  *  Strip / 18 - 24 Months, Grey  *  Pink  *  Strip / 12 - 18 Months, Grey  *  Pink  *  Strip / 9 - 12 Months, Grey  *  Pink  *  Strip / 6 - 9 Months, Grey  *  Pink  *  Strip / 3 - 6 Months, Grey  *  Pink  *  Strip / 0 - 3 Months: High Premium Organic Egyptian Cotton Long Sleeve Body Pack Of 3 100 % Cotton 6213-24",1124621336 1124621324 1124621318 1124621312 1124621309 1124621306 1124621303
Baby Bodysuit Pack Of 3,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 100 % Cotton 5213-32,325.0,"Lemon * Grey * Strip / 24 - 36 Months, Lemon * Grey * Strip / 18 - 24 Months, Lemon * Grey * Strip / 12 - 18 Months, Lemon * Grey * Strip / 9 - 12 Months, Lemon * Grey * Strip / 6 - 9 Months, Lemon * Grey * Strip / 3 - 6 Months, Lemon * Grey * Strip / 0 - 3 Months",1132521336,shopify,5213-32,https://junior-tex.com//products/5213-32,2026/02/22 02:41:31 PM,"Baby Bodysuit Pack Of 3 - Lemon * Grey * Strip / 24 - 36 Months, Lemon * Grey * Strip / 18 - 24 Months, Lemon * Grey * Strip / 12 - 18 Months, Lemon * Grey * Strip / 9 - 12 Months, Lemon * Grey * Strip / 6 - 9 Months, Lemon * Grey * Strip / 3 - 6 Months, Lemon * Grey * Strip / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 100 % Cotton 5213-32",1132521336 1132521324 1132521318 1132521312 1132521309 1132521306 1132521303
