Product,Handle,Price,SKU,Availability,Variant Title,Variant ID,Weight,Inventory Management,Product URL,Scraped at,Description
Ballerina Dreams Set,ballerina-dreams-set-1,1859.0,,True,Default Title,51058187436330,0,shopify,https://www.triconuts.com//products/ballerina-dreams-set-1,2026/02/22 02:05:08 PM,"Ballerina Dreams Set 🩰 A dreamy handmade gift for little ballerinas 🤍 The Ballerina Dreams Set is a perfect blend of softness, elegance, and personalization — designed to be cherished from day one. This beautiful set includes: Made from baby-friendly, high-quality yarn, this set is safe, cozy, and perfect for newborns, baby showers, birthdays, or keepsake gifts. Why moms love it: 🎁 Whether it’s a baby shower or a special surprise, the Ballerina Dreams Set is a gift that speaks from the heart."
Cat Toy,cat-toy-no-name,557.0,,False,Default Title,47843545121066,0,shopify,https://www.triconuts.com//products/cat-toy-no-name,2026/02/22 02:05:09 PM,"Hand-crocheted amigurumi cat plush toy in light brown, measuring 22 cm tall. Soft, safe, and perfect for cuddles or gifting. This adorable 22 cm tall amigurumi cat is handmade with soft, high-quality yarn in a warm light brown shade. Its sweet expression, embroidered facial details, and carefully stitched ears and limbs give it a charming personality. With white accents on the paws and nose, it’s designed to be baby-safe, durable, and perfect for gifting to little ones or adding to a handmade toy collection. Ideal as a comforting bedtime companion or a unique nursery decoration."
Blue Velvet Blanket (Super Soft),blue-velvet-blanket-super-soft,1259.0,,True,Default Title,51012227006762,0,shopify,https://www.triconuts.com//products/blue-velvet-blanket-super-soft,2026/02/22 02:05:09 PM,"Designed and handmade in Egypt For customized size or color, pleasecontact us Please follow the care instructions to maintain appearance and extend the life of your garmentHere"
Beige Girl Bunny Toy,girl-bunny-toy-2,499.0,,True,Default Title,44188819292458,0,shopify,https://www.triconuts.com//products/girl-bunny-toy-2,2026/02/22 02:05:10 PM,"Handmade 25 cm crochet bunny – the perfect soft, baby-safe gift for newborns. Ideal for nursery decor, cuddles, and timeless baby photo shoots. Bring warmth and charm to your little one’s world with our handmade crochet bunny. With its soft neutral tones, sweet sleepy eyes, and delicate pink bow, this cuddly friend makes the perfect gift for newborns or expecting moms. Lovingly handcrafted using soft, baby-safe cotton yarn, this 25 cm bunny is just the right size for tiny hands to hold and hug. Ideal for nursery decor, playtime, or newborn photo shoots. ✅ Handmade with love ✅ Baby-safe natural materials ✅ Exclusive design by Triconuts"
Dinosaur Toy (Extra Soft),dinosaur-toy-extra-soft,879.0,,True,Default Title,49933380845866,0,shopify,https://www.triconuts.com//products/dinosaur-toy-extra-soft,2026/02/22 02:05:11 PM,100% handcrafted Safe for babies & kids Material: Yarn & Fiber only (no plastic) Height: 32 cm approx. Color: Mint green Hand wash only
Elephant Girl Toy,elephant-girl-toy,589.0,,True,Default Title,44188814377258,0,shopify,https://www.triconuts.com//products/elephant-girl-toy,2026/02/22 02:05:12 PM,"Charming handmade crocheted elephant toy, 22 cm tall, featuring soft grey yarn with adorable pink heart and bow details—perfect for cuddles or gifting. This adorable handmade crocheted elephant toy is the perfect blend of charm and craftsmanship. Measuring 22 cm in height, it is lovingly created with soft grey yarn and features delightful pink accents, including a sweet heart on its belly and a tiny bow on its ear. With its oversized floppy ears, expressive eyes, and endearing details, this elephant makes an ideal companion for babies, toddlers, and anyone who appreciates handcrafted treasures. Whether used as a cuddly toy, nursery decoration, or a thoughtful gift, this amigurumi-style elephant is sure to bring smiles and warmth to any home."
Dog Puppy Toy (Extra Soft),dog-puppy-toy-extra-soft,969.0,,True,Default Title,50440472330538,0,shopify,https://www.triconuts.com//products/dog-puppy-toy-extra-soft,2026/02/22 02:05:13 PM,"Soft & cuddly handmade dog plushie – 38 cm of pure love! Perfect for babies and toddlers to snuggle, play, and feel safe. Meet our adorable handmade dog plushie – your child’s new best friend! 🐶 Crafted with love from ultra-soft chenille yarn, this 38 cm cuddly pup features sweet embroidered details, floppy ears in warm tones, and a friendly face that sparks joy in little hearts. It’s lightweight, safe for babies, and perfect for cuddles, imaginative play, or bedtime comfort. Whether as a gift or a special companion, this plushie brings warmth and smiles wherever it goes 🤎"
Elephant Boy Toy,elephant-boy-toy,589.0,,True,Default Title,44188809986346,0,shopify,https://www.triconuts.com//products/elephant-boy-toy,2026/02/22 02:05:14 PM,"Handmade crocheted elephant toy, 22 cm tall, crafted with soft grey yarn and finished with a sweet blue heart—perfect for cuddles, nursery décor, or gifting. Meet this adorable handmade crocheted elephant, a charming 22 cm tall companion made with love and attention to detail. Soft grey yarn forms its cuddly body, with oversized floppy ears, gentle stitched eyes, and a light blue heart embellishment on its belly for an extra touch of sweetness. A small tuft of matching blue yarn on its head adds character and playfulness. This amigurumi-style elephant is perfect for babies, toddlers, or anyone who appreciates thoughtful, handcrafted gifts. Ideal as a soft toy, nursery decoration, or a keepsake, this elephant brings warmth, comfort, and joy wherever it goes."
Boy Bunny Toy (Extra Soft),large-boy-bunny-toy-extra-soft,899.0,,True,Default Title,48939261428010,0,shopify,https://www.triconuts.com//products/large-boy-bunny-toy-extra-soft,2026/02/22 02:05:16 PM,100% handcrafted Bunny toy for girls Safe for babies & kids Material: Yarn & Fiber only (no plastic) Height: 35 cm approx. Color: Baby Blue Hand wash only
Blue Flower Bag Charm,blue-flower-bag-charm,229.0,,True,Default Title,50260146553130,0,shopify,https://www.triconuts.com//products/blue-flower-bag-charm,2026/02/22 02:05:17 PM,"New Bag Charm Collection – Handcrafted Elegance for Every Bag Add a touch of sweetness to your everyday style with our new bag charm collection. Featuring delicately crocheted designs like this cute flower 💙🌼 , each charm is lovingly handmade with premium yarn for a soft, lightweight finish that’s both stylish and durable. Perfect for accessorizing handbags, backpacks, or even keys, these charming accents are designed to make a statement while staying delightfully subtle. Whether you’re gifting or treating yourself, our collection brings playful elegance to any look. ✨ Handmade with love 🎀 Unique crochet designs 👜 Perfect for gifting or personal flair"
Elephant Toy (Extra Soft),elephant-toy-extra-soft,849.0,,False,Default Title,50904579539242,0,shopify,https://www.triconuts.com//products/elephant-toy-extra-soft,2026/02/22 02:05:18 PM,100% handcrafted Elephant toy for kids Safe for babies & kids Material: Yarn & Fiber only (no plastic) Height: 30 cm approx. Color: Grey Hand wash only
Big Daisy Bag Charm,daisy-bag-charm,249.0,,True,Default Title,50257801314602,0,,https://www.triconuts.com//products/daisy-bag-charm,2026/02/22 02:05:19 PM,"New Bag Charm Collection – Handcrafted Elegance for Every Bag Add a touch of sweetness to your everyday style with our new bag charm collection. Featuring delicately crocheted designs like this unique daisy 🌼 , each charm is lovingly handmade with premium yarn for a soft, lightweight finish that’s both stylish and durable. Perfect for accessorizing handbags, backpacks, or even keys, these charming accents are designed to make a statement while staying delightfully subtle. Whether you’re gifting or treating yourself, our collection brings playful elegance to any look. ✨ Handmade with love 🎀 Unique crochet designs 👜 Perfect for gifting or personal flair"
Ballerina Toy,ballerina-toy,599.0,,True,Default Title,49974051635498,0,shopify,https://www.triconuts.com//products/ballerina-toy,2026/02/22 02:05:20 PM,"Adorable handmade crocheted ballerina doll, 27 cm tall, dressed in a charming pink tutu—perfect for cuddles, decor, or gifting. This beautifully handmade crocheted ballerina doll stands at 27 cm tall and is designed to bring joy and warmth to any child or collector. With its soft, high-quality yarn and delicate craftsmanship, this doll features a sweet pink ballet dress, matching ballet shoes, and an elegant bun. Its gentle, smiling expression adds to its charm, making it an ideal gift for birthdays, baby showers, or nursery decor. Safe, durable, and utterly adorable, this ballerina doll is sure to be treasured for years to come."
Baby Boy Besties Set,baby-boy-besties-set-1,969.0,,True,Default Title,51058266997034,0,shopify,https://www.triconuts.com//products/baby-boy-besties-set-1,2026/02/22 02:05:21 PM,"Baby Boy Besties Set The Baby Boy Besties Set is the perfect handmade gift for your little one 💙 This adorable set includes two soft crochet friends designed to be your baby’s first besties. The set features: Each toy is carefully handcrafted with love, using high-quality, gentle yarn that is safe and cozy for babies. The neutral and boy-friendly colors make this set ideal for baby showers, newborn gifts, or a special keepsake. ✨ Free name embroidery on the bunny makes this set extra special and unique. Why parents love it: A timeless keepsake your baby will cuddle, love, and grow with 🤍"
Cow Toy (Extra Soft),large-cow-toy-extra-soft,779.0,,True,Default Title,49762627092778,0,shopify,https://www.triconuts.com//products/large-cow-toy-extra-soft,2026/02/22 02:05:22 PM,100% handcrafted Bunny toy for girls Safe for babies & kids Material: Yarn & Fiber only (no plastic) Height: 30 cm approx. Hand wash only
Blue Baby Bear Hat (EXTRA SOFT),blue-baby-bear-hat-extra-soft,449.0,,True,0-6 months,51022833385770,0,shopify,https://www.triconuts.com//products/blue-baby-bear-hat-extra-soft,2026/02/22 02:05:23 PM,"Wrap your little one in warmth and cuteness 🤍 This adorable handmade baby hat features sweet bear ears and a soft, cozy design that’s perfect for newborns and infants. Carefully crocheted using high-quality, baby-friendly yarn, it’s gentle on delicate skin and comfortable for everyday wear. Whether it’s for a newborn photoshoot, a baby shower gift, or a special first outing, this hat adds the perfect touch of charm. ✨ Why moms love it: A timeless essential that keeps your baby warm while looking absolutely adorable 💕"
Blue Baby Bear Hat (EXTRA SOFT),blue-baby-bear-hat-extra-soft,449.0,,True,6-12 months,51022833418538,0,shopify,https://www.triconuts.com//products/blue-baby-bear-hat-extra-soft,2026/02/22 02:05:23 PM,"Wrap your little one in warmth and cuteness 🤍 This adorable handmade baby hat features sweet bear ears and a soft, cozy design that’s perfect for newborns and infants. Carefully crocheted using high-quality, baby-friendly yarn, it’s gentle on delicate skin and comfortable for everyday wear. Whether it’s for a newborn photoshoot, a baby shower gift, or a special first outing, this hat adds the perfect touch of charm. ✨ Why moms love it: A timeless essential that keeps your baby warm while looking absolutely adorable 💕"
Duck Toy (Extra Soft),large-duck-toy,769.0,,True,Default Title,50288697016618,0,shopify,https://www.triconuts.com//products/large-duck-toy,2026/02/22 02:05:24 PM,100% handcrafted Safe for babies & kids Material: Yarn & Fiber only (no plastic) Height: 28 cm approx. Color: White + Yellow details Hand wash only with mild detergent
