category,Cluster,count,mean,std,cv_%,min,25%,50%,75%,max,IQR
baby_kids,Baby Blanket,11.0,1860.0,262.9068276024797,14.134775677552675,1680.0,1680.0,1680.0,2100.0,2400.0,420.0
baby_kids,Baby Sheet,17.0,1676.4705882352941,192.77386935443909,11.498792207106892,1520.0,1520.0,1520.0,1900.0,1900.0,380.0
baby_kids,Bath Poncho,12.0,1900.0,0.0,0.0,1900.0,1900.0,1900.0,1900.0,1900.0,0.0
baby_kids,Bath Robes,3.0,645.0,0.0,0.0,645.0,645.0,645.0,645.0,645.0,0.0
baby_kids,Bib,5.0,850.0,0.0,0.0,850.0,850.0,850.0,850.0,850.0,0.0
baby_kids,Duvet,3.0,6395.0,0.0,0.0,6395.0,6395.0,6395.0,6395.0,6395.0,0.0
baby_kids,Hooded Baby Towel,14.0,1268.5714285714287,484.8926470064061,38.2235194712257,540.0,780.0,1500.0,1500.0,1700.0,720.0
baby_kids,Swaddle Towel,4.0,995.0,0.0,0.0,995.0,995.0,995.0,995.0,995.0,0.0
storage,Cardigan Indigo Flower,1.0,840.0,,,840.0,840.0,840.0,840.0,840.0,0.0
storage,Cardigan Yellow Flower,1.0,840.0,,,840.0,840.0,840.0,840.0,840.0,0.0
storage,Coverup,3.0,1600.0,0.0,0.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0
storage,Duvet Cover,61.0,4750.491803278688,1318.1836319085799,27.748361359108074,2450.0,3880.0,4620.0,4620.0,8690.0,740.0
storage,Makeup Case,2.0,445.0,0.0,0.0,445.0,445.0,445.0,445.0,445.0,0.0
storage,Pouch,5.0,495.0,0.0,0.0,495.0,495.0,495.0,495.0,495.0,0.0
storage,Sunglasses Cover,1.0,295.0,,,295.0,295.0,295.0,295.0,295.0,0.0
dining,Placemat,3.0,1140.0,0.0,0.0,1140.0,1140.0,1140.0,1140.0,1140.0,0.0
dining,Table Cloth,46.0,3780.0,2868.558871628749,75.88780083673939,200.0,2542.5,3900.0,3900.0,16295.0,1357.5
bathroom,Beach Towel,20.0,1145.0,201.24611797498108,17.57608017248743,900.0,900.0,1200.0,1250.0,1400.0,350.0
bathroom,Mat/Towel,107.0,1988.785046728972,1098.174909841087,55.218381274904274,395.0,1795.0,1900.0,2195.0,4495.0,400.0
bathroom,Piping Robe,10.0,2548.0,405.7585488933043,15.924589830977407,1960.0,2170.0,2800.0,2800.0,2800.0,630.0
bedding,Bedspread,37.0,3358.6486486486488,1211.3127914286545,36.065481035535704,1490.0,2400.0,2900.0,4200.0,5400.0,1800.0
bedding,Duvet,151.0,6743.7086092715235,3042.722928758393,45.11943064347612,1520.0,5000.0,6700.0,8995.0,14995.0,3995.0
bedding,Jacquard Towel,3.0,480.0,0.0,0.0,480.0,480.0,480.0,480.0,480.0,0.0
bedding,Pillow,2.0,2110.0,1965.756851698602,93.16383183405698,720.0,1415.0,2110.0,2805.0,3500.0,1390.0
bedding,Quilt,16.0,6418.75,2282.4953450116827,35.559810633093406,2600.0,5885.0,7820.0,7820.0,8800.0,1935.0
bedding,Throw Blanket,11.0,3440.0,1483.3205991962761,43.119784860356866,1680.0,2400.0,2800.0,5130.0,5400.0,2730.0
clothing,Blouse,6.0,1600.0,0.0,0.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0
clothing,Bottoms,18.0,963.8888888888889,182.95415333416793,18.9808343516716,800.0,800.0,1050.0,1050.0,1500.0,250.0
clothing,Coat,2.0,3280.0,0.0,0.0,3280.0,3280.0,3280.0,3280.0,3280.0,0.0
clothing,Dress,58.0,2592.4137931034484,759.9176094418038,29.31312938788549,1440.0,1950.0,2600.0,3500.0,3500.0,1550.0
clothing,Joggers,3.0,600.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,0.0
clothing,Kaftan,60.0,3260.5,1107.5311144575242,33.96813723225039,1450.0,2950.0,2950.0,4500.0,4900.0,1550.0
clothing,Kimono,45.0,1982.6666666666667,434.27264163509915,21.903462086504664,1380.0,1380.0,2300.0,2300.0,2300.0,920.0
clothing,Other,2.0,2280.0,0.0,0.0,2280.0,2280.0,2280.0,2280.0,2280.0,0.0
clothing,Pants,17.0,1318.235294117647,565.9862552893583,42.935146541361405,750.0,750.0,1500.0,1500.0,2400.0,750.0
clothing,Pareo Wrap,7.0,1164.2857142857142,293.98736610366683,25.250448622400835,850.0,850.0,1400.0,1400.0,1400.0,550.0
clothing,Shirt,52.0,987.9807692307693,564.9156275848569,57.17880804751836,455.0,800.0,800.0,900.0,2400.0,100.0
clothing,Short,4.0,450.0,0.0,0.0,450.0,450.0,450.0,450.0,450.0,0.0
clothing,Shorts,10.0,1540.0,96.6091783079296,6.273323266748674,1400.0,1450.0,1600.0,1600.0,1600.0,150.0
clothing,Sweatshirt,2.0,720.0,0.0,0.0,720.0,720.0,720.0,720.0,720.0,0.0
clothing,Tank,3.0,600.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,0.0
clothing,pants,1.0,2480.0,,,2480.0,2480.0,2480.0,2480.0,2480.0,0.0
clothing,top,1.0,2680.0,,,2680.0,2680.0,2680.0,2680.0,2680.0,0.0
loungeware,Joggers,7.0,994.2857142857143,256.5707922359274,25.804533701889248,720.0,720.0,1200.0,1200.0,1200.0,480.0
loungeware,Pants,21.0,1484.7619047619048,186.10800755526472,12.534535467160227,1120.0,1500.0,1600.0,1600.0,1600.0,100.0
loungeware,Pyjama Set,27.0,2597.4074074074074,374.4081749661477,14.414688042329942,1250.0,2500.0,2500.0,3000.0,3000.0,500.0
kitchen,Apron,2.0,550.0,0.0,0.0,550.0,550.0,550.0,550.0,550.0,0.0
home_decor,Glass Vase,4.0,435.0,30.0,6.896551724137931,420.0,420.0,420.0,435.0,480.0,15.0
home_decor,Other,2.0,670.0,254.55844122715712,37.99379719808315,490.0,580.0,670.0,760.0,850.0,180.0
