Product,Handle,Price,SKU,Availability,Variant Title,Variant ID,Weight,Inventory Management,Product URL,Scraped at,Description
Adventure Incomplete Washed Tee For Adults,adventure-incomplete-tee-for-adults,519.0,,False,Medium / T-shirt Only,46473465069817,0,shopify,https://applemintandcocoa.com//products/adventure-incomplete-tee-for-adults,2026/02/22 12:53:26 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Adventure Incomplete Washed Tee For Adults,adventure-incomplete-tee-for-adults,519.0,,False,Large / T-shirt Only,46473465102585,0,shopify,https://applemintandcocoa.com//products/adventure-incomplete-tee-for-adults,2026/02/22 12:53:26 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Adventure Incomplete Washed Tee For Adults,adventure-incomplete-tee-for-adults,519.0,,True,X-Large / T-shirt Only,46473465135353,0,shopify,https://applemintandcocoa.com//products/adventure-incomplete-tee-for-adults,2026/02/22 12:53:26 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Adventure Incomplete Washed Tee For Adults,adventure-incomplete-tee-for-adults,519.0,,True,XX-Large / T-shirt Only,46473465168121,0,shopify,https://applemintandcocoa.com//products/adventure-incomplete-tee-for-adults,2026/02/22 12:53:26 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Aiming Higher in Olive Sports Tee,aiming-higher-in-olive-tee,322.0,,True,4-5,46516044366073,0,shopify,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Aiming Higher in Olive Sports Tee,aiming-higher-in-olive-tee,322.0,,True,6-7,46461442031865,0,shopify,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Aiming Higher in Olive Sports Tee,aiming-higher-in-olive-tee,322.0,,True,8-9,46461442064633,0,shopify,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Aiming Higher in Olive Sports Tee,aiming-higher-in-olive-tee,322.0,,True,10-11,46461442097401,0,shopify,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Aiming Higher in Olive Sports Tee,aiming-higher-in-olive-tee,322.0,,True,12-13,46461442130169,0,shopify,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Aiming Higher in Olive Sports Tee,aiming-higher-in-olive-tee,322.0,,True,14-15,46461442162937,0,shopify,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
