Product,Variant,Price,Handle,Inventory Management,Variant ID,Availability,SKU,Product URL,Scraped at,Description,Hollistic Description
Adventure Incomplete Washed Tee For Adults,"Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only",519.0,adventure-incomplete-tee-for-adults,shopify,"46473465069817, 46473465102585, 46473465135353, 46473465168121",False,nan,https://applemintandcocoa.com//products/adventure-incomplete-tee-for-adults,2026/02/22 12:53:26 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Adventure Incomplete Washed Tee For Adults - Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only: Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Adventure Incomplete Washed Tee For Kids,"2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only",369.0,adventure-incomplete-washed-tee-for-kids,shopify,"46473468018937, 46473468051705, 46473468084473, 46473468117241, 46473468150009, 46473468182777, 46473468215545, 46473468248313, 46473468281081",False,nan,https://applemintandcocoa.com//products/adventure-incomplete-washed-tee-for-kids,2026/02/22 12:53:37 PM,"Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Adventure Incomplete Washed Tee For Kids - 2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only: Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Aiming Higher in Olive Sports Tee,"4-5, 6-7, 8-9, 10-11, 12-13, 14-15",322.0,aiming-higher-in-olive-tee,shopify,"46516044366073, 46461442031865, 46461442064633, 46461442097401, 46461442130169, 46461442162937",True,nan,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light","Aiming Higher in Olive Sports Tee - 4-5, 6-7, 8-9, 10-11, 12-13, 14-15: Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Airborne Unicorn,"2-3, 4-5, 6-7, 8-9, 10-11, 12-13",299.0,airborne-unicorn,shopify,"42544661397753, 42544661430521, 42544661463289, 42544661496057, 42544661528825, 42544661561593",False,nan,https://applemintandcocoa.com//products/airborne-unicorn,2026/02/22 12:53:28 PM,Crafted in our soft cotton jersey. Perfect for those breezy fall mornings. Key Features: 100% cotton lightweight jersey.All over print.Loose fit.Cute shoulder ruffles.,"Airborne Unicorn - 2-3, 4-5, 6-7, 8-9, 10-11, 12-13: Crafted in our soft cotton jersey. Perfect for those breezy fall mornings. Key Features: 100% cotton lightweight jersey.All over print.Loose fit.Cute shoulder ruffles."
Airforce Sports Tee,"4-5, 6-7, 8-9, 10-11, 12-13, 14-15",299.0,airforce-tee,shopify,"45170394169593, 45170394202361, 45170394235129, 45170394267897, 45170394300665, 45170394333433",True,nan,https://applemintandcocoa.com//products/airforce-tee,2026/02/22 12:53:36 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light","Airforce Sports Tee - 4-5, 6-7, 8-9, 10-11, 12-13, 14-15: Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Army Olive Unisex Fleece Cargo Double Pocket Jogger Pants,"2-3, 3-4, 4-5, 5-6, 6-7, 8-9, 10-11, 12-13, 14-15",650.0,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,shopify,"46939314061561, 46939314094329, 46939314127097, 47009142898937, 46939314159865, 46939314192633, 46939314225401, 46939314258169, 46939314290937",True,nan,https://applemintandcocoa.com//products/army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,2026/02/22 12:53:31 PM,Key Features: 100% Cotton Fleece brushed inside for extra warmth.Slim fit.Functional drawstring.Elastic waist.2 side pockets.1 cargo side pocket.,"Army Olive Unisex Fleece Cargo Double Pocket Jogger Pants - 2-3, 3-4, 4-5, 5-6, 6-7, 8-9, 10-11, 12-13, 14-15: Key Features: 100% Cotton Fleece brushed inside for extra warmth.Slim fit.Functional drawstring.Elastic waist.2 side pockets.1 cargo side pocket."
Around The Sun Washed Tee For Adults,"Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only",519.0,around-the-sun-washed-tee,shopify,"46473464021241, 46473464054009, 46473464086777, 46473464119545",False,nan,https://applemintandcocoa.com//products/around-the-sun-washed-tee,2026/02/22 12:53:35 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Around The Sun Washed Tee For Adults - Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only: Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Around The Sun Washed Tee For Kids,"2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only",369.0,around-the-sun-washed-tee-for-kids,shopify,"46473465561337, 46473465594105, 46473465626873, 46473465659641, 46473465692409, 46473465725177, 46473465757945, 46473465790713, 46473465823481",True,nan,https://applemintandcocoa.com//products/around-the-sun-washed-tee-for-kids,2026/02/22 12:53:32 PM,"Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Around The Sun Washed Tee For Kids - 2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only: Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Beige Cargo Kids’ Shorts,"2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only",540.0,beige-cargo-kids-shorts-1,shopify,"43732664418553, 43732664451321, 43732664484089, 43732664516857, 43732664549625, 43732664582393, 43732664615161, 43732664647929, 44546439217401",True,nan,https://applemintandcocoa.com//products/beige-cargo-kids-shorts-1,2026/02/22 12:53:40 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts.,"Beige Cargo Kids’ Shorts - 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts."
Beige Cargo Men Shorts,"Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only",650.0,beige-cargo-men-shorts,shopify,"43732569424121, 43732569456889, 43732569489657, 43732569522425",True,nan,https://applemintandcocoa.com//products/beige-cargo-men-shorts,2026/02/22 12:53:38 PM,Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts,"Beige Cargo Men Shorts - Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only: Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts"
Beige Cargo Women Pants,"Small / Pants Only, Medium / Pants Only, Large / Pants Only, X-Large / Pants Only, XX-Large / Pants Only",340.0,beige-cargo-women-pants,shopify,"43732598522105, 43732598554873, 43732598587641, 43732598620409, 43732598653177",True,nan,https://applemintandcocoa.com//products/beige-cargo-women-pants,2026/02/22 12:53:34 PM,Key Features: 100% CottonSlim fit.Functional drawstring.Elastic waist.2 side pockets.1 cargo side pocket.,"Beige Cargo Women Pants - Small / Pants Only, Medium / Pants Only, Large / Pants Only, X-Large / Pants Only, XX-Large / Pants Only: Key Features: 100% CottonSlim fit.Functional drawstring.Elastic waist.2 side pockets.1 cargo side pocket."
