Product,Price,Handle,Inventory Management,SKU,Product URL,Scraped at,Description,Hollistic Description,SKUs
Adventure Incomplete Washed Tee For Adults,519.0,adventure-incomplete-tee-for-adults,shopify,nan,https://applemintandcocoa.com//products/adventure-incomplete-tee-for-adults,2026/02/22 12:53:26 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Adventure Incomplete Washed Tee For Adults - Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only: Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print",nan
Adventure Incomplete Washed Tee For Kids,369.0,adventure-incomplete-washed-tee-for-kids,shopify,nan,https://applemintandcocoa.com//products/adventure-incomplete-washed-tee-for-kids,2026/02/22 12:53:37 PM,"Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Adventure Incomplete Washed Tee For Kids - 2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only: Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, theyare designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print",nan
Aiming Higher in Olive Sports Tee,322.0,aiming-higher-in-olive-tee,shopify,nan,https://applemintandcocoa.com//products/aiming-higher-in-olive-tee,2026/02/22 12:53:27 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light","Aiming Higher in Olive Sports Tee - 4-5, 6-7, 8-9, 10-11, 12-13, 14-15: Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light",nan
Airborne Unicorn,299.0,airborne-unicorn,shopify,nan,https://applemintandcocoa.com//products/airborne-unicorn,2026/02/22 12:53:28 PM,Crafted in our soft cotton jersey. Perfect for those breezy fall mornings. Key Features: 100% cotton lightweight jersey.All over print.Loose fit.Cute shoulder ruffles.,"Airborne Unicorn - 2-3, 4-5, 6-7, 8-9, 10-11, 12-13: Crafted in our soft cotton jersey. Perfect for those breezy fall mornings. Key Features: 100% cotton lightweight jersey.All over print.Loose fit.Cute shoulder ruffles.",nan
Airforce Sports Tee,299.0,airforce-tee,shopify,nan,https://applemintandcocoa.com//products/airforce-tee,2026/02/22 12:53:36 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light","Airforce Sports Tee - 4-5, 6-7, 8-9, 10-11, 12-13, 14-15: Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light",nan
Army Olive Unisex Fleece Cargo Double Pocket Jogger Pants,650.0,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,shopify,nan,https://applemintandcocoa.com//products/army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,2026/02/22 12:53:31 PM,Key Features: 100% Cotton Fleece brushed inside for extra warmth.Slim fit.Functional drawstring.Elastic waist.2 side pockets.1 cargo side pocket.,"Army Olive Unisex Fleece Cargo Double Pocket Jogger Pants - 2-3, 3-4, 4-5, 5-6, 6-7, 8-9, 10-11, 12-13, 14-15: Key Features: 100% Cotton Fleece brushed inside for extra warmth.Slim fit.Functional drawstring.Elastic waist.2 side pockets.1 cargo side pocket.",nan
Around The Sun Washed Tee For Adults,519.0,around-the-sun-washed-tee,shopify,nan,https://applemintandcocoa.com//products/around-the-sun-washed-tee,2026/02/22 12:53:35 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Around The Sun Washed Tee For Adults - Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only: Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print",nan
Around The Sun Washed Tee For Kids,369.0,around-the-sun-washed-tee-for-kids,shopify,nan,https://applemintandcocoa.com//products/around-the-sun-washed-tee-for-kids,2026/02/22 12:53:32 PM,"Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Around The Sun Washed Tee For Kids - 2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only: Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print",nan
Beige Cargo Kids’ Shorts,540.0,beige-cargo-kids-shorts-1,shopify,nan,https://applemintandcocoa.com//products/beige-cargo-kids-shorts-1,2026/02/22 12:53:40 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts.,"Beige Cargo Kids’ Shorts - 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts.",nan
Beige Cargo Men Shorts,650.0,beige-cargo-men-shorts,shopify,nan,https://applemintandcocoa.com//products/beige-cargo-men-shorts,2026/02/22 12:53:38 PM,Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts,"Beige Cargo Men Shorts - Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only: Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts",nan
