Product,Description,Price,SKU,Inventory Management,Handle,Product URL,Scraped at,Hollistic Description,SKUs
Baby Banana Wet Bag,Carry all your essentials in this light weight super colorful wet nag! Also makes a great wrapping for birthday presents from baby banana,150.0,nan,shopify,baby-banana-wet-bag,https://babybananaeg.com/products/baby-banana-wet-bag,2026/02/22 02:16:40 PM,Baby Banana Wet Bag: Carry all your essentials in this light weight super colorful wet nag! Also makes a great wrapping for birthday presents from baby banana,nan
Baby fringes top,Handmade with love by Egyptian women especially for our 10th anniversary! This colorful fringes top with vibrant colors is guaranteed to make you go bananas! Rock it with your jeans in the city or wear it with your favorite shorts to the beach. Handmade with love = Hand-wash cold,1000.0,nan,shopify,baby-fringes-top,https://babybananaeg.com/products/baby-fringes-top,2026/02/22 02:16:34 PM,Baby fringes top: Handmade with love by Egyptian women especially for our 10th anniversary! This colorful fringes top with vibrant colors is guaranteed to make you go bananas! Rock it with your jeans in the city or wear it with your favorite shorts to the beach. Handmade with love = Hand-wash cold,nan
Banana Tropicana,"A fresh take on our best seller set that made everyone go bananas! so many ways to go bananas with this set! A vibrant set with ruffled shorts and a wrap around top that can be worn three ways! you can tie it in the front, tie it in the back or wrap it around your neck Wear the shorts with a plain t-shirt when you're in the city, and pair with the tie-top once you hit the beach. you can even wear the top separately with denim shorts!",500.0,nan,shopify,banana-tropicana,https://babybananaeg.com/products/banana-tropicana,2026/02/22 02:16:30 PM,"Banana Tropicana: A fresh take on our best seller set that made everyone go bananas! so many ways to go bananas with this set! A vibrant set with ruffled shorts and a wrap around top that can be worn three ways! you can tie it in the front, tie it in the back or wrap it around your neck Wear the shorts with a plain t-shirt when you're in the city, and pair with the tie-top once you hit the beach. you can even wear the top separately with denim shorts!",nan
Bandana Banana,"A tribute to the cool kids on the block in a 90s bandana print, this set is sure to be a head turner! A triangle shaped top that ties in the back and is also reversible. Ruffled shorts with mismatched sides. Wear the shorts with a plain t-shirt when you're in the city, and pair with the tie-top once you hit the beach. you can even wear the top separately with denim shorts!",500.0,nan,shopify,bandana-banana,https://babybananaeg.com/products/bandana-banana,2026/02/22 02:16:41 PM,"Bandana Banana: A tribute to the cool kids on the block in a 90s bandana print, this set is sure to be a head turner! A triangle shaped top that ties in the back and is also reversible. Ruffled shorts with mismatched sides. Wear the shorts with a plain t-shirt when you're in the city, and pair with the tie-top once you hit the beach. you can even wear the top separately with denim shorts!",nan
Beach Bum Set,"Our first crop pants set comes in a breezy linen fabric to keep your kids comfy and stylish! High waisted pants and an elastic waist make for a super comfortable fit. The top ties in the front to adjust for different sizes So many ways to go bananas You can pair the crop pants with a plain T shirt when you're in the city, wear it with our ""oh-so-chic tie top"" for the ultimate 60's look or you can wear the top with denim shorts for a more laid back look",500.0,nan,shopify,beach-bum-set,https://babybananaeg.com/products/beach-bum-set,2026/02/22 02:16:42 PM,"Beach Bum Set: Our first crop pants set comes in a breezy linen fabric to keep your kids comfy and stylish! High waisted pants and an elastic waist make for a super comfortable fit. The top ties in the front to adjust for different sizes So many ways to go bananas You can pair the crop pants with a plain T shirt when you're in the city, wear it with our ""oh-so-chic tie top"" for the ultimate 60's look or you can wear the top with denim shorts for a more laid back look",nan
Boho Crop Top,"The Top that goes with anything and everything! A dainty beautiful crochet fabric, with front lining and a see through back!",360.0,2.0,,boho-crop-top,https://babybananaeg.com/products/boho-crop-top,2026/02/22 02:16:36 PM,"Boho Crop Top: The Top that goes with anything and everything! A dainty beautiful crochet fabric, with front lining and a see through back!",2
Bubble Gum Bum White,Also available in black,500.0,nan,shopify,bubble-gum-bum-white,https://babybananaeg.com/products/bubble-gum-bum-white,2026/02/22 02:16:31 PM,Bubble Gum Bum White: Also available in black,nan
California Girl,"We paired our signature ruffled shorts with an our tie top for that California girl look!So many ways to go bananas with this set! Wear the shorts with a plain t-shirt when you're in the city, and pair with the crop top once you hit the beach. Dress it down and wear the crop top with your favorite denim shorts.",900.0,nan,shopify,green-glam-copy,https://babybananaeg.com/products/green-glam-copy,2026/02/22 02:16:38 PM,"California Girl: We paired our signature ruffled shorts with an our tie top for that California girl look!So many ways to go bananas with this set! Wear the shorts with a plain t-shirt when you're in the city, and pair with the crop top once you hit the beach. Dress it down and wear the crop top with your favorite denim shorts.",nan
Cotton Candy Coverup Skirts,"the coverup you wont take off all summer, easy to put on with an elastic waist band, super light and breezy fabric with a ruffled slit for that go bananas look! Available in fushia and lilac purple",300.0,nan,shopify,copy-of-go-bananas-coverup,https://babybananaeg.com/products/copy-of-go-bananas-coverup,2026/02/22 02:16:38 PM,"Cotton Candy Coverup Skirts: the coverup you wont take off all summer, easy to put on with an elastic waist band, super light and breezy fabric with a ruffled slit for that go bananas look! Available in fushia and lilac purple",nan
Cotton candy fringe top,Handmade with love by Egyptian women especially for our 10th anniversary! This colorful fringes top with vibrant colors is guaranteed to make you go bananas! Rock it with your jeans in the city or wear it with your favorite shorts to the beach. Handmade with love = Hand-wash cold,1000.0,nan,shopify,cotton-candy-fringe-top,https://babybananaeg.com/products/cotton-candy-fringe-top,2026/02/22 02:16:33 PM,Cotton candy fringe top: Handmade with love by Egyptian women especially for our 10th anniversary! This colorful fringes top with vibrant colors is guaranteed to make you go bananas! Rock it with your jeans in the city or wear it with your favorite shorts to the beach. Handmade with love = Hand-wash cold,nan
Crazy for Daisy,"As fresh as it gets in this playful vibrant set! A ruffled multi tier skirt that will make one massive twirl, and a one shoulder ruffled top that can be styled in so many ways! Definitely our favorite set this summer!",900.0,nan,shopify,pink-queen-copy,https://babybananaeg.com/products/pink-queen-copy,2026/02/22 02:16:32 PM,"Crazy for Daisy: As fresh as it gets in this playful vibrant set! A ruffled multi tier skirt that will make one massive twirl, and a one shoulder ruffled top that can be styled in so many ways! Definitely our favorite set this summer!",nan
Disco Diva,A new take on our best seller set! This time in a groovy disco diva print! A ruffled multi tier skirt that will make one massive twirl and an elastic ruffled crop top are sure to make you go bananas! Hello Diva!,500.0,nan,shopify,copy-of-flower-power-gal,https://babybananaeg.com/products/copy-of-flower-power-gal,2026/02/22 02:16:43 PM,Disco Diva: A new take on our best seller set! This time in a groovy disco diva print! A ruffled multi tier skirt that will make one massive twirl and an elastic ruffled crop top are sure to make you go bananas! Hello Diva!,nan
Floral Vintage,This 60's inspired set is a head turner! Loose fitting shorts for a comfortable fit and an adorable bralette top with a broderie anglaise trim takes you back in time. The top ties from the front to adjust the size as you wish So many ways to go bananas: Wear it as a set on those summery days/afternoons. Wear the shorts with a slogan tee and sneakers when you're int he city Pair the top with denim shorts for a laid back look,500.0,nan,shopify,floral-vintage,https://babybananaeg.com/products/floral-vintage,2026/02/22 02:16:52 PM,Floral Vintage: This 60's inspired set is a head turner! Loose fitting shorts for a comfortable fit and an adorable bralette top with a broderie anglaise trim takes you back in time. The top ties from the front to adjust the size as you wish So many ways to go bananas: Wear it as a set on those summery days/afternoons. Wear the shorts with a slogan tee and sneakers when you're int he city Pair the top with denim shorts for a laid back look,nan
Flower Power Gal,"Nothing screams summer like this cute floral set! A ruffled multi tier skirt that will make one massive twirl and an elastic ruffled crop top are sure to make you go bananas! Peace, love and flowers!",500.0,nan,shopify,flower-power-girl,https://babybananaeg.com/products/flower-power-girl,2026/02/22 02:16:46 PM,"Flower Power Gal: Nothing screams summer like this cute floral set! A ruffled multi tier skirt that will make one massive twirl and an elastic ruffled crop top are sure to make you go bananas! Peace, love and flowers!",nan
Fruit Rollup,"A fresh take on our best seller set that made everyone go bananas! so many ways to go bananas with this set! A vibrant set with ruffled shorts and a wrap around top that can be worn three ways! Also available in Jelly Cola Print you can tie it in the front, tie it in the back or wrap it around your neck Wear the shorts with a plain t-shirt when you're in the city, and pair with the tie-top once you hit the beach. you can even wear the top separately with denim shorts!",500.0,nan,shopify,fruit-rollup,https://babybananaeg.com/products/fruit-rollup,2026/02/22 02:16:47 PM,"Fruit Rollup: A fresh take on our best seller set that made everyone go bananas! so many ways to go bananas with this set! A vibrant set with ruffled shorts and a wrap around top that can be worn three ways! Also available in Jelly Cola Print you can tie it in the front, tie it in the back or wrap it around your neck Wear the shorts with a plain t-shirt when you're in the city, and pair with the tie-top once you hit the beach. you can even wear the top separately with denim shorts!",nan
