Product,Description,Price,Variant,Variant ID,SKU,Inventory Management,Handle,Availability,Product URL,Scraped at,Hollistic Description
1.07m Geometric Swim Ring,"Add some geometric fun to your pool days with our 1.07m Geometric Swim Ring! Perfect for lounging and playing in the water, this floater features a stylish white design and a generous size of 1.07m. Whether you're a kid or an adult, this swim ring is sure to provide hours of entertainment. Available in a free size, it's the perfect addition to your pool or beach essentials.",385.0,White / Free,41562079101137,140214-S23-36228W,shopify,1-07m-geometric-swim-ring,False,https://www.ninoskids.com/en/products/1-07m-geometric-swim-ring,2026/02/23 02:06:02 PM,"1.07m Geometric Swim Ring - White / Free: Add some geometric fun to your pool days with our 1.07m Geometric Swim Ring! Perfect for lounging and playing in the water, this floater features a stylish white design and a generous size of 1.07m. Whether you're a kid or an adult, this swim ring is sure to provide hours of entertainment. Available in a free size, it's the perfect addition to your pool or beach essentials."
1.19m x 79cm Happy Crustacean Junior Raft,"Get ready for a splashing good time with our Happy Crustacean Junior Raft! Measuring 1.19m x 79cm, this fun and colorful inflatable raft is perfect for young swimmers to enjoy in the pool. Available in a vibrant turquoise color and with a free size, it's the perfect addition to any pool day. Let your little ones cruise and play in style with our Happy Crustacean Junior Raft.",479.0,Turquiose / Free,41561373409489,140214-S23-34009,shopify,1-19m-x-79cm-happy-crustacean-junior-raft,False,https://www.ninoskids.com/en/products/1-19m-x-79cm-happy-crustacean-junior-raft,2026/02/23 02:06:04 PM,"1.19m x 79cm Happy Crustacean Junior Raft - Turquiose / Free: Get ready for a splashing good time with our Happy Crustacean Junior Raft! Measuring 1.19m x 79cm, this fun and colorful inflatable raft is perfect for young swimmers to enjoy in the pool. Available in a vibrant turquoise color and with a free size, it's the perfect addition to any pool day. Let your little ones cruise and play in style with our Happy Crustacean Junior Raft."
1.1L Lunch Box with Tray,"Our 3-piece lunch set is an essential for busy parents and students. It includes a BPA-free and food safe lunch box, a leakproof water bottle, and a 3-piece cutlery set inside the box. With this set, you can rest assured that your meal and drink will stay safe and fresh. 1100 ml Fresco ™ Lunch Box 500 ml Water Bottle Cutlery Dishwasher, microwave safe & freezer safe 100% Food Safe BPA free",147.0,Black / 1.1L,42671366209745,363137-NOS-6441,shopify,1-1l-lunch-box-with-tray-2,False,https://www.ninoskids.com/en/products/1-1l-lunch-box-with-tray-2,2026/02/23 02:06:07 PM,"1.1L Lunch Box with Tray - Black / 1.1L: Our 3-piece lunch set is an essential for busy parents and students. It includes a BPA-free and food safe lunch box, a leakproof water bottle, and a 3-piece cutlery set inside the box. With this set, you can rest assured that your meal and drink will stay safe and fresh. 1100 ml Fresco ™ Lunch Box 500 ml Water Bottle Cutlery Dishwasher, microwave safe & freezer safe 100% Food Safe BPA free"
1.22m x H25cm Coral Kids Pool,"Introduce your little ones to the joy of swimming with our 1.22m x H25cm Coral Kids Pool. Perfect for hot summer days, this swimming pool is designed for children and comes in a vibrant blue color. With a size that's just right for kids, they can splash and play freely in the water. Get ready for endless fun and laughter with this fantastic swimming pool.",399.0,Blue / Free,41562104365265,140214-S23-51009,shopify,1-22m-x-h25cm-coral-kids-pool,False,https://www.ninoskids.com/en/products/1-22m-x-h25cm-coral-kids-pool,2026/02/23 02:06:06 PM,"1.22m x H25cm Coral Kids Pool - Blue / Free: Introduce your little ones to the joy of swimming with our 1.22m x H25cm Coral Kids Pool. Perfect for hot summer days, this swimming pool is designed for children and comes in a vibrant blue color. With a size that's just right for kids, they can splash and play freely in the water. Get ready for endless fun and laughter with this fantastic swimming pool."
1.34m x 1.42m Fantasy Dragon Ride On,"Get ready for an epic adventure with our 1.34m x 1.42m Fantasy Dragon Ride On! This inflatable pool toy is perfect for imaginative play and will make a splash at your next pool party. Available in a vibrant green color and a free size, it's the ultimate addition to your swimming pool. So hop on and let your imagination take flight!",799.0,Green / Free,41562101973201,140214-S23-41476,shopify,1-34m-x-1-42m-fantasy-dragon-ride-on,False,https://www.ninoskids.com/en/products/1-34m-x-1-42m-fantasy-dragon-ride-on,2026/02/23 02:06:05 PM,"1.34m x 1.42m Fantasy Dragon Ride On - Green / Free: Get ready for an epic adventure with our 1.34m x 1.42m Fantasy Dragon Ride On! This inflatable pool toy is perfect for imaginative play and will make a splash at your next pool party. Available in a vibrant green color and a free size, it's the ultimate addition to your swimming pool. So hop on and let your imagination take flight!"
1.65m Splash Pad SpiderMan,"Introducing the ultimate summer accessory for your little superhero - the 1.65m Splash Pad SpiderMan! Perfect for hot days, this swimming pool features a fun SpiderMan design and measures 1.65m in diameter. The navy color adds a cool touch, and with a free size, it's suitable for all ages. Get ready for endless hours of splashing fun with this must-have pool.",999.0,Navy / Free,41562241237201,140214-S23-98792,shopify,1-65m-splash-pad-spiderman,False,https://www.ninoskids.com/en/products/1-65m-splash-pad-spiderman,2026/02/23 02:06:01 PM,"1.65m Splash Pad SpiderMan - Navy / Free: Introducing the ultimate summer accessory for your little superhero - the 1.65m Splash Pad SpiderMan! Perfect for hot days, this swimming pool features a fun SpiderMan design and measures 1.65m in diameter. The navy color adds a cool touch, and with a free size, it's suitable for all ages. Get ready for endless hours of splashing fun with this must-have pool."
1.83m x H38cm Fill 'N Fun Odyssey Pool,"""Add a splash of fun to your backyard with our 1.83m x H38cm Fill 'N Fun Odyssey Pool! Perfect for cooling off on hot summer days, this swimming pool is easy to set up and features a spacious size of 1.83m for the whole family to enjoy. The vibrant blue color adds a pop of color to your outdoor space, while the free size allows for plenty of room to swim and play.""",849.0,Blue / Free,41562173898961,140214-S23-55030,shopify,1-83m-x-h38cm-fill-n-fun-odyssey-pool,False,https://www.ninoskids.com/en/products/1-83m-x-h38cm-fill-n-fun-odyssey-pool,2026/02/23 02:06:00 PM,"1.83m x H38cm Fill 'N Fun Odyssey Pool - Blue / Free: ""Add a splash of fun to your backyard with our 1.83m x H38cm Fill 'N Fun Odyssey Pool! Perfect for cooling off on hot summer days, this swimming pool is easy to set up and features a spacious size of 1.83m for the whole family to enjoy. The vibrant blue color adds a pop of color to your outdoor space, while the free size allows for plenty of room to swim and play."""
1.88m x 71cm Fashion Lounge,"Introducing the ultimate poolside accessory - our 1.88m x 71cm Fashion Lounge! Perfect for lounging in style, this vibrant fuscia-colored lounge will add a pop of color to any pool party. With a free size that fits all, it's the perfect addition to your summer essentials. So sit back, relax, and soak up the sun on our trendy Fashion Lounge.",399.0,Fuscia / Free,41562102857937,140214-S23-43040F,shopify,1-88m-x-71cm-fashion-lounge-2,False,https://www.ninoskids.com/en/products/1-88m-x-71cm-fashion-lounge-2,2026/02/23 02:05:59 PM,"1.88m x 71cm Fashion Lounge - Fuscia / Free: Introducing the ultimate poolside accessory - our 1.88m x 71cm Fashion Lounge! Perfect for lounging in style, this vibrant fuscia-colored lounge will add a pop of color to any pool party. With a free size that fits all, it's the perfect addition to your summer essentials. So sit back, relax, and soak up the sun on our trendy Fashion Lounge."
1.88m x 71cm Fashion Lounge,"Introducing the ultimate summer essential - the 1.88m x 71cm Fashion Lounge for Swimming Pools. Designed for both style and comfort, this lounge features a sleek white color and a generous size of 1.88m x 71cm. Perfect for lounging in the pool or soaking up the sun, this fashion lounge is a must-have for any poolside gathering. Available in a free size, it's the perfect addition to your summer fun.",399.0,White / Free,41562102792401,140214-S23-43040W,shopify,1-88m-x-71cm-fashion-lounge,False,https://www.ninoskids.com/en/products/1-88m-x-71cm-fashion-lounge,2026/02/23 02:05:58 PM,"1.88m x 71cm Fashion Lounge - White / Free: Introducing the ultimate summer essential - the 1.88m x 71cm Fashion Lounge for Swimming Pools. Designed for both style and comfort, this lounge features a sleek white color and a generous size of 1.88m x 71cm. Perfect for lounging in the pool or soaking up the sun, this fashion lounge is a must-have for any poolside gathering. Available in a free size, it's the perfect addition to your summer fun."
2 Pcs Orthodontical Soother 0-6,تحتوي العبوة على 2 لهاية. تدعم الحلمة التقويمية نمو الحنك الطبيعي ونمو الأسنان ، فضلاً عن دعم حركة المص الطبيعية للطفل. تمنع ثقوب تدفق الهواء الموجودة في الدرع تهيج المنطقة المحيطة بفم الطفل. يسمح نظام الهواء بالحفاظ على شكل الحلمات ونعومتها. يأتي مع غطاء PP صحي. الحلمة مصنوعة من السيليكون والغطاء والجسم اللطيف مصنوع من مادة PP.,89.0,Mix Color,41043197133009,389-R22-1541,shopify,2-pcs-orthodontical-soother-0-6,False,https://www.ninoskids.com/en/products/2-pcs-orthodontical-soother-0-6,2026/02/23 02:06:15 PM,2 Pcs Orthodontical Soother 0-6 - Mix Color: تحتوي العبوة على 2 لهاية. تدعم الحلمة التقويمية نمو الحنك الطبيعي ونمو الأسنان ، فضلاً عن دعم حركة المص الطبيعية للطفل. تمنع ثقوب تدفق الهواء الموجودة في الدرع تهيج المنطقة المحيطة بفم الطفل. يسمح نظام الهواء بالحفاظ على شكل الحلمات ونعومتها. يأتي مع غطاء PP صحي. الحلمة مصنوعة من السيليكون والغطاء والجسم اللطيف مصنوع من مادة PP.
